MM:DD:YYYY hh:mm:ss,Device_Number,Battery_Voltage,Motor_Turns,Session_Type,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Retrieval_Time,Concat_#,Mode
2023-03-29 11:02:50,22,4.19,11.0,Free_feed,Pellet,Left,0,0,1,,0,Free_feed
2023-03-29 11:05:42,22,4.19,,Free_feed,Poke,Left,1,0,1,,0,Free_feed
2023-03-29 11:07:19,22,4.19,,Free_feed,Poke,Left,2,0,1,,0,Free_feed
2023-03-29 11:09:34,22,4.19,4.0,Free_feed,Pellet,Left,2,0,2,,0,Free_feed
2023-03-29 11:11:17,22,4.18,,Free_feed,Poke,Left,2,1,2,,0,Free_feed
2023-03-29 11:11:21,22,4.19,,Free_feed,Poke,Left,2,2,2,,0,Free_feed
2023-03-29 11:11:51,22,4.18,2.0,Free_feed,Pellet,Left,2,2,3,,0,Free_feed
2023-03-29 11:12:13,22,4.18,1.0,Free_feed,Pellet,Left,2,2,4,14.78,0,Free_feed
2023-03-29 11:12:15,22,4.19,1.0,Free_feed,Pellet,Left,2,2,5,0.3,0,Free_feed
2023-03-29 11:12:48,22,4.18,,Free_feed,Poke,Left,3,2,5,,0,Free_feed
2023-03-29 11:12:48,22,4.19,,Free_feed,Poke,Left,4,2,5,,0,Free_feed
2023-03-29 11:12:52,22,4.19,1.0,Free_feed,Pellet,Left,4,2,6,30.07,0,Free_feed
2023-03-29 11:13:07,22,4.18,,Free_feed,Poke,Left,4,3,6,,0,Free_feed
2023-03-29 11:15:03,22,4.18,1.0,Free_feed,Pellet,Left,4,3,7,,0,Free_feed
2023-03-29 11:17:50,22,4.18,,Free_feed,Poke,Left,5,3,7,,0,Free_feed
2023-03-29 11:18:50,22,4.19,,Free_feed,Poke,Left,6,3,7,,0,Free_feed
2023-03-29 11:18:54,22,4.18,1.0,Free_feed,Pellet,Left,6,3,8,,0,Free_feed
2023-03-29 11:18:55,22,4.19,1.0,Free_feed,Pellet,Left,6,3,9,0.06,0,Free_feed
2023-03-29 11:19:03,22,4.18,1.0,Free_feed,Pellet,Left,6,3,10,1.28,0,Free_feed
2023-03-29 11:24:06,22,4.18,,Free_feed,Poke,Left,6,4,10,,0,Free_feed
2023-03-29 11:24:28,22,4.18,,Free_feed,Poke,Left,7,4,10,,0,Free_feed
2023-03-29 11:24:35,22,4.19,,Free_feed,Poke,Left,7,5,10,,0,Free_feed
2023-03-29 11:24:38,22,4.19,,Free_feed,Poke,Left,7,6,10,,0,Free_feed
2023-03-29 11:26:20,22,4.18,1.0,Free_feed,Pellet,Left,7,6,11,,0,Free_feed
2023-03-29 11:26:22,22,4.19,1.0,Free_feed,Pellet,Left,7,6,12,0.06,0,Free_feed
2023-03-29 11:26:28,22,4.18,1.0,Free_feed,Pellet,Left,7,6,13,0.12,0,Free_feed
2023-03-29 11:28:10,22,4.18,2.0,Free_feed,Pellet,Left,7,6,14,,0,Free_feed
2023-03-29 11:28:29,22,4.19,2.0,Free_feed,Pellet,Left,7,6,15,12.14,0,Free_feed
2023-03-29 11:28:38,22,4.18,,Free_feed,Poke,Left,8,6,15,,0,Free_feed
2023-03-29 11:28:42,22,4.18,,Free_feed,Poke,Left,8,7,15,,0,Free_feed
2023-03-29 11:28:43,22,4.18,,Free_feed,Poke,Left,8,8,15,,0,Free_feed
2023-03-29 11:28:54,22,4.18,,Free_feed,Poke,Left,9,8,15,,0,Free_feed
2023-03-29 11:29:03,22,4.18,,Free_feed,Poke,Left,10,8,15,,0,Free_feed
2023-03-29 11:29:05,22,4.19,,Free_feed,Poke,Left,11,8,15,,0,Free_feed
2023-03-29 11:29:06,22,4.19,,Free_feed,Poke,Left,12,8,15,,0,Free_feed
2023-03-29 11:30:12,22,4.18,,Free_feed,Poke,Left,13,8,15,,0,Free_feed
2023-03-29 11:32:48,22,4.18,,Free_feed,Poke,Left,13,9,15,,0,Free_feed
2023-03-29 11:33:30,22,4.19,,Free_feed,Poke,Left,14,9,15,,0,Free_feed
2023-03-29 11:37:46,22,4.18,,Free_feed,Poke,Left,14,10,15,,0,Free_feed
