MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
3/29/2023 10:50:00,1.14.0,Free_feed,15,4.19,1,1,Pellet,Left,0,0,1,0,Timed_out,nan,nan
3/29/2023 10:54:35,1.14.0,Free_feed,15,4.19,nan,1,LeftWithPellet,Left,1,0,1,0,nan,nan,0.06
3/29/2023 10:55:55,1.14.0,Free_feed,15,4.18,nan,1,RightWithPellet,Left,1,1,1,0,nan,nan,0.01
3/29/2023 10:55:56,1.14.0,Free_feed,15,4.19,nan,1,RightWithPellet,Left,1,2,1,0,nan,nan,0.13
3/29/2023 10:57:47,1.14.0,Free_feed,15,4.19,nan,1,RightWithPellet,Left,1,3,1,0,nan,nan,0.13
3/29/2023 11:04:23,1.14.0,Free_feed,15,4.19,nan,1,LeftWithPellet,Left,2,3,1,0,nan,nan,0.01
3/29/2023 11:08:50,1.14.0,Free_feed,15,4.18,nan,1,LeftWithPellet,Left,3,3,1,0,nan,nan,0.04
3/29/2023 11:08:54,1.14.0,Free_feed,15,4.19,nan,1,LeftWithPellet,Left,4,3,1,0,nan,nan,0.89
3/29/2023 11:08:55,1.14.0,Free_feed,15,4.18,nan,1,LeftWithPellet,Left,5,3,1,0,nan,nan,0.27
3/29/2023 11:09:59,1.14.0,Free_feed,15,4.19,nan,1,RightWithPellet,Left,5,4,1,0,nan,nan,0.14
3/29/2023 11:11:20,1.14.0,Free_feed,15,4.19,nan,1,RightWithPellet,Left,5,5,1,0,nan,nan,1.04
3/29/2023 11:11:23,1.14.0,Free_feed,15,4.19,nan,1,RightWithPellet,Left,5,6,1,0,nan,nan,0.12
3/29/2023 11:12:24,1.14.0,Free_feed,15,4.19,nan,1,LeftWithPellet,Left,6,6,1,0,nan,nan,0.03
3/29/2023 11:16:33,1.14.0,Free_feed,15,4.18,1,1,Pellet,Left,6,6,2,0,Timed_out,1592,nan
3/29/2023 11:24:05,1.14.0,Free_feed,15,4.18,nan,1,LeftWithPellet,Left,7,6,2,0,nan,nan,0.19
3/29/2023 11:24:06,1.14.0,Free_feed,15,4.18,nan,1,LeftWithPellet,Left,8,6,2,0,nan,nan,0.06
3/29/2023 11:24:49,1.14.0,Free_feed,15,4.18,nan,1,LeftWithPellet,Left,9,6,2,0,nan,nan,0.05
3/29/2023 11:26:42,1.14.0,Free_feed,15,4.19,4,1,Pellet,Left,9,6,3,0,Timed_out,610,nan
3/29/2023 11:33:29,1.14.0,Free_feed,15,4.19,2,1,Pellet,Left,9,6,4,0,Timed_out,407,nan
3/29/2023 11:39:24,1.14.0,Free_feed,15,4.19,nan,1,RightWithPellet,Left,9,7,4,0,nan,nan,0.01
3/29/2023 11:39:28,1.14.0,Free_feed,15,4.18,nan,1,RightWithPellet,Left,9,8,4,0,nan,nan,2.24
3/29/2023 11:39:30,1.14.0,Free_feed,15,4.18,nan,1,RightWithPellet,Left,9,9,4,0,nan,nan,0.95
3/29/2023 11:39:35,1.14.0,Free_feed,15,4.18,nan,1,RightWithPellet,Left,9,10,4,0,nan,nan,0.72
3/29/2023 11:40:48,1.14.0,Free_feed,15,4.19,2,1,Pellet,Left,9,10,5,0,Timed_out,439,nan
3/29/2023 11:42:17,1.14.0,Free_feed,15,4.18,nan,1,RightWithPellet,Left,9,11,5,0,nan,nan,0.04
3/29/2023 11:42:27,1.14.0,Free_feed,15,4.18,nan,1,LeftWithPellet,Left,10,11,5,0,nan,nan,0.38
3/29/2023 11:46:28,1.14.0,Free_feed,15,4.18,1,1,Pellet,Left,10,11,6,0,Timed_out,340,nan
3/29/2023 11:51:19,1.14.0,Free_feed,15,4.18,nan,1,LeftWithPellet,Left,11,11,6,0,nan,nan,0.40
3/29/2023 11:51:21,1.14.0,Free_feed,15,4.18,nan,1,LeftWithPellet,Left,12,11,6,0,nan,nan,0.59
3/29/2023 11:52:31,1.14.0,Free_feed,15,4.18,1,1,Pellet,Left,12,11,7,0,Timed_out,363,nan
3/29/2023 11:52:41,1.14.0,Free_feed,15,4.18,1,1,Pellet,Left,12,11,8,0,2.93,10,nan
3/29/2023 11:52:53,1.14.0,Free_feed,15,4.18,1,1,Pellet,Left,12,11,9,0,5.57,12,nan
3/29/2023 11:52:55,1.14.0,Free_feed,15,4.18,1,1,Pellet,Left,12,11,10,0,0.30,2,nan
3/29/2023 11:53:11,1.14.0,Free_feed,15,4.18,1,1,Pellet,Left,12,11,11,0,9.38,16,nan
3/29/2023 11:59:41,1.14.0,Free_feed,15,4.18,1,1,Pellet,Left,12,11,12,0,Timed_out,390,nan
3/29/2023 11:59:53,1.14.0,Free_feed,15,4.18,nan,1,RightWithPellet,Left,12,12,12,0,nan,nan,1.36
3/29/2023 11:59:54,1.14.0,Free_feed,15,4.18,nan,1,RightWithPellet,Left,12,13,12,0,nan,nan,1.00
3/29/2023 12:00:54,1.14.0,Free_feed,15,4.18,1,1,Pellet,Left,12,13,13,0,Timed_out,73,nan
3/29/2023 12:08:03,1.14.0,Free_feed,15,4.18,1,1,Pellet,Left,12,13,14,0,Timed_out,429,nan
3/29/2023 12:08:15,1.14.0,Free_feed,15,4.18,nan,1,RightWithPellet,Left,12,14,14,0,nan,nan,0.38
3/29/2023 12:08:17,1.14.0,Free_feed,15,4.18,nan,1,RightWithPellet,Left,12,15,14,0,nan,nan,1.07
3/29/2023 12:08:18,1.14.0,Free_feed,15,4.18,nan,1,RightWithPellet,Left,12,16,14,0,nan,nan,0.15
3/29/2023 12:08:21,1.14.0,Free_feed,15,4.18,nan,1,RightWithPellet,Left,12,17,14,0,nan,nan,1.05
3/29/2023 12:08:22,1.14.0,Free_feed,15,4.18,nan,1,RightWithPellet,Left,12,18,14,0,nan,nan,0.60
3/29/2023 12:08:23,1.14.0,Free_feed,15,4.18,nan,1,RightWithPellet,Left,12,19,14,0,nan,nan,0.17
3/29/2023 12:08:23,1.14.0,Free_feed,15,4.18,nan,1,RightWithPellet,Left,12,20,14,0,nan,nan,0.12
3/29/2023 12:08:26,1.14.0,Free_feed,15,4.18,nan,1,RightWithPellet,Left,12,21,14,0,nan,nan,0.01
3/29/2023 12:08:30,1.14.0,Free_feed,15,4.18,nan,1,RightWithPellet,Left,12,22,14,0,nan,nan,4.12
3/29/2023 12:08:31,1.14.0,Free_feed,15,4.18,nan,1,RightWithPellet,Left,12,23,14,0,nan,nan,0.56
3/29/2023 12:08:34,1.14.0,Free_feed,15,4.18,nan,1,RightWithPellet,Left,12,24,14,0,nan,nan,1.49
3/29/2023 12:08:37,1.14.0,Free_feed,15,4.18,nan,1,RightWithPellet,Left,12,25,14,0,nan,nan,2.53
3/29/2023 12:08:48,1.14.0,Free_feed,15,4.18,2,1,Pellet,Left,12,25,15,0,36.86,45,nan
3/29/2023 12:10:44,1.14.0,Free_feed,15,4.17,nan,1,LeftWithPellet,Left,13,25,15,0,nan,nan,1.11
3/29/2023 12:10:54,1.14.0,Free_feed,15,4.18,1,1,Pellet,Left,13,25,16,0,Timed_out,126,nan
3/29/2023 12:15:13,1.14.0,Free_feed,15,4.18,1,1,Pellet,Left,13,25,17,0,Timed_out,258,nan
3/29/2023 12:15:14,1.14.0,Free_feed,15,4.18,1,1,Pellet,Left,13,25,18,0,0.06,2,nan
3/29/2023 12:22:26,1.14.0,Free_feed,15,4.18,1,1,Pellet,Left,13,25,19,0,Timed_out,432,nan
3/29/2023 12:30:53,1.14.0,Free_feed,15,4.18,2,1,Pellet,Left,13,25,20,0,Timed_out,507,nan
3/29/2023 12:30:59,1.14.0,Free_feed,15,4.18,nan,1,LeftWithPellet,Left,14,25,20,0,nan,nan,0.14
3/29/2023 12:31:01,1.14.0,Free_feed,15,4.18,nan,1,LeftWithPellet,Left,15,25,20,0,nan,nan,0.04
3/29/2023 12:31:03,1.14.0,Free_feed,15,4.18,nan,1,LeftWithPellet,Left,16,25,20,0,nan,nan,0.01
3/29/2023 12:31:05,1.14.0,Free_feed,15,4.18,nan,1,LeftWithPellet,Left,17,25,20,0,nan,nan,0.17
3/29/2023 12:31:05,1.14.0,Free_feed,15,4.18,nan,1,LeftWithPellet,Left,18,25,20,0,nan,nan,0.02
3/29/2023 12:31:11,1.14.0,Free_feed,15,4.18,nan,1,LeftWithPellet,Left,19,25,20,0,nan,nan,0.40
3/29/2023 12:31:29,1.14.0,Free_feed,15,4.18,nan,1,LeftWithPellet,Left,20,25,20,0,nan,nan,0.33
3/29/2023 12:31:31,1.14.0,Free_feed,15,4.18,1,1,Pellet,Left,20,25,21,0,32.19,38,nan
3/29/2023 12:31:37,1.14.0,Free_feed,15,4.18,nan,1,RightWithPellet,Left,20,26,21,0,nan,nan,0.79
3/29/2023 12:31:56,1.14.0,Free_feed,15,4.18,1,1,Pellet,Left,20,26,22,0,19.71,25,nan
3/29/2023 12:32:07,1.14.0,Free_feed,15,4.18,2,1,Pellet,Left,20,26,23,0,3.61,10,nan
3/29/2023 12:32:28,1.14.0,Free_feed,15,4.18,nan,1,RightWithPellet,Left,20,27,23,0,nan,nan,0.31
3/29/2023 12:34:27,1.14.0,Free_feed,15,4.18,nan,1,RightWithPellet,Left,20,28,23,0,nan,nan,1.04
3/29/2023 12:36:17,1.14.0,Free_feed,15,4.18,nan,1,RightWithPellet,Left,20,29,23,0,nan,nan,0.05
3/29/2023 12:38:02,1.14.0,Free_feed,15,4.18,1,1,Pellet,Left,20,29,24,0,Timed_out,356,nan
3/29/2023 12:38:12,1.14.0,Free_feed,15,4.18,1,1,Pellet,Left,20,29,25,0,2.93,10,nan
3/29/2023 12:38:44,1.14.0,Free_feed,15,4.18,nan,1,RightWithPellet,Left,20,30,25,0,nan,nan,0.37
3/29/2023 12:45:03,1.14.0,Free_feed,15,4.18,1,1,Pellet,Left,20,30,26,0,Timed_out,411,nan
3/29/2023 12:45:15,1.14.0,Free_feed,15,4.18,1,1,Pellet,Left,20,30,27,0,4.84,12,nan
3/29/2023 12:53:22,1.14.0,Free_feed,15,4.18,1,1,Pellet,Left,20,30,28,0,Timed_out,487,nan
3/29/2023 12:54:35,1.14.0,Free_feed,15,4.18,nan,1,RightWithPellet,Left,20,31,28,0,nan,nan,0.17
3/29/2023 12:58:42,1.14.0,Free_feed,15,4.18,1,1,Pellet,Left,20,31,29,0,Timed_out,320,nan
3/29/2023 12:59:21,1.14.0,Free_feed,15,4.18,1,1,Pellet,Left,20,31,30,0,32.17,39,nan
3/29/2023 13:06:36,1.14.0,Free_feed,15,4.18,nan,1,LeftWithPellet,Left,21,31,30,0,nan,nan,0.14
3/29/2023 13:06:41,1.14.0,Free_feed,15,4.18,nan,1,LeftWithPellet,Left,22,31,30,0,nan,nan,0.22
3/29/2023 13:06:41,1.14.0,Free_feed,15,4.18,nan,1,LeftWithPellet,Left,23,31,30,0,nan,nan,0.08
3/29/2023 13:06:43,1.14.0,Free_feed,15,4.18,nan,1,LeftWithPellet,Left,24,31,30,0,nan,nan,0.23
3/29/2023 13:06:48,1.14.0,Free_feed,15,4.18,nan,1,LeftWithPellet,Left,25,31,30,0,nan,nan,1.43
3/29/2023 13:06:51,1.14.0,Free_feed,15,4.18,nan,1,LeftWithPellet,Left,26,31,30,0,nan,nan,1.74
3/29/2023 13:06:56,1.14.0,Free_feed,15,4.18,nan,1,LeftWithPellet,Left,27,31,30,0,nan,nan,0.08
3/29/2023 13:08:05,1.14.0,Free_feed,15,4.18,2,1,Pellet,Left,27,31,31,0,Timed_out,523,nan
3/29/2023 13:12:53,1.14.0,Free_feed,15,4.18,nan,1,RightWithPellet,Left,27,32,31,0,nan,nan,0.11
3/29/2023 13:12:55,1.14.0,Free_feed,15,4.18,nan,1,RightWithPellet,Left,27,33,31,0,nan,nan,0.20
3/29/2023 13:13:13,1.14.0,Free_feed,15,4.18,nan,1,RightWithPellet,Left,27,34,31,0,nan,nan,0.08
3/29/2023 13:13:15,1.14.0,Free_feed,15,4.18,nan,1,RightWithPellet,Left,27,35,31,0,nan,nan,0.34
3/29/2023 13:13:17,1.14.0,Free_feed,15,4.18,nan,1,RightWithPellet,Left,27,36,31,0,nan,nan,0.97
3/29/2023 13:13:22,1.14.0,Free_feed,15,4.18,nan,1,RightWithPellet,Left,27,37,31,0,nan,nan,0.61
3/29/2023 13:13:27,1.14.0,Free_feed,15,4.17,nan,1,RightWithPellet,Left,27,38,31,0,nan,nan,0.17
3/29/2023 13:13:39,1.14.0,Free_feed,15,4.18,nan,1,RightWithPellet,Left,27,39,31,0,nan,nan,0.75
3/29/2023 13:13:43,1.14.0,Free_feed,15,4.18,1,1,Pellet,Left,27,39,32,0,Timed_out,339,nan
3/29/2023 13:14:09,1.14.0,Free_feed,15,4.18,1,1,Pellet,Left,27,39,33,0,19.53,26,nan
3/29/2023 13:14:54,1.14.0,Free_feed,15,4.18,1,1,Pellet,Left,27,39,34,0,36.65,45,nan
3/29/2023 13:18:38,1.14.0,Free_feed,15,4.18,nan,1,RightWithPellet,Left,27,40,34,0,nan,nan,0.13
3/29/2023 13:19:38,1.14.0,Free_feed,15,4.18,1,1,Pellet,Left,27,40,35,0,Timed_out,284,nan
3/29/2023 13:19:58,1.14.0,Free_feed,15,4.18,1,1,Pellet,Left,27,40,36,0,12.33,20,nan
3/29/2023 13:20:16,1.14.0,Free_feed,15,4.18,1,1,Pellet,Left,27,40,37,0,11.22,18,nan
3/29/2023 13:42:51,1.14.0,Free_feed,15,4.18,2,1,Pellet,Left,27,40,38,0,Timed_out,1355,nan
3/29/2023 13:43:04,1.14.0,Free_feed,15,4.18,1,1,Pellet,Left,27,40,39,0,5.70,13,nan
3/29/2023 13:43:05,1.14.0,Free_feed,15,4.18,1,1,Pellet,Left,27,40,40,0,0.06,1,nan
3/29/2023 13:43:24,1.14.0,Free_feed,15,4.18,1,1,Pellet,Left,27,40,41,0,12.39,19,nan
3/29/2023 13:43:45,1.14.0,Free_feed,15,4.18,2,1,Pellet,Left,27,40,42,0,13.55,21,nan
3/29/2023 13:45:23,1.14.0,Free_feed,15,4.17,2,1,Pellet,Left,27,40,43,0,Timed_out,97,nan
3/29/2023 15:01:37,1.14.0,Free_feed,15,4.17,1,1,Pellet,Left,27,40,44,0,Timed_out,4575,nan
3/29/2023 15:01:51,1.14.0,Free_feed,15,4.17,1,1,Pellet,Left,27,40,45,0,6.92,14,nan
3/29/2023 15:01:53,1.14.0,Free_feed,15,4.17,1,1,Pellet,Left,27,40,46,0,0.06,2,nan
3/29/2023 15:02:15,1.14.0,Free_feed,15,4.17,1,1,Pellet,Left,27,40,47,0,15.04,22,nan
3/29/2023 15:02:54,1.14.0,Free_feed,15,4.17,nan,1,RightWithPellet,Left,27,41,47,0,nan,nan,0.21
3/29/2023 15:11:23,1.14.0,Free_feed,15,4.17,1,1,Pellet,Left,27,41,48,0,Timed_out,548,nan
3/29/2023 15:11:40,1.14.0,Free_feed,15,4.17,1,1,Pellet,Left,27,41,49,0,9.81,17,nan
3/29/2023 15:11:43,1.14.0,Free_feed,15,4.17,1,1,Pellet,Left,27,41,50,0,0.06,3,nan
3/29/2023 15:11:45,1.14.0,Free_feed,15,4.17,1,1,Pellet,Left,27,41,51,0,0.06,2,nan
3/29/2023 15:12:19,1.14.0,Free_feed,15,4.17,nan,1,RightWithPellet,Left,27,42,51,0,nan,nan,0.04
3/29/2023 15:14:01,1.14.0,Free_feed,15,4.17,1,1,Pellet,Left,27,42,52,0,Timed_out,136,nan
3/29/2023 15:14:32,1.14.0,Free_feed,15,4.17,1,1,Pellet,Left,27,42,53,0,23.10,30,nan
3/29/2023 15:15:57,1.14.0,Free_feed,15,4.17,1,1,Pellet,Left,27,42,54,0,Timed_out,86,nan
3/29/2023 15:16:04,1.14.0,Free_feed,15,4.17,1,1,Pellet,Left,27,42,55,0,0.42,7,nan
3/29/2023 15:16:32,1.14.0,Free_feed,15,4.17,nan,1,LeftWithPellet,Left,28,42,55,0,nan,nan,0.01
3/29/2023 15:16:34,1.14.0,Free_feed,15,4.17,nan,1,LeftWithPellet,Left,29,42,55,0,nan,nan,1.03
3/29/2023 15:16:35,1.14.0,Free_feed,15,4.17,nan,1,LeftWithPellet,Left,30,42,55,0,nan,nan,0.59
