MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
7/8/2022 15:32:10,1.12.0,Free_feed,5,4.12,4,1,Pellet,Left,0,0,1,0,26.59,nan,nan
7/8/2022 15:32:29,1.12.0,Free_feed,5,4.12,1,1,Pellet,Left,0,0,2,0,15.92,19,nan
7/8/2022 15:36:02,1.12.0,Free_feed,5,4.12,1,1,Pellet,Left,0,0,3,0,Timed_out,213,nan
7/8/2022 16:20:21,1.12.0,Free_feed,5,4.12,1,1,Pellet,Left,0,0,4,0,Timed_out,2659,nan
7/8/2022 16:23:31,1.12.0,Free_feed,5,4.12,1,1,Pellet,Left,0,0,5,0,Timed_out,190,nan
7/8/2022 16:32:53,1.12.0,Free_feed,5,4.12,nan,1,LeftWithPellet,Left,1,0,5,0,nan,nan,0.44
7/8/2022 16:41:03,1.12.0,Free_feed,5,4.12,nan,1,RightWithPellet,Left,1,1,5,0,nan,nan,0.39
7/8/2022 16:42:02,1.12.0,Free_feed,5,4.11,nan,1,RightWithPellet,Left,1,2,5,0,nan,nan,0.12
7/8/2022 16:50:20,1.12.0,Free_feed,5,4.11,nan,1,LeftWithPellet,Left,2,2,5,0,nan,nan,0.45
7/8/2022 16:50:21,1.12.0,Free_feed,5,4.11,nan,1,LeftWithPellet,Left,3,2,5,0,nan,nan,0.21
7/8/2022 16:52:18,1.12.0,Free_feed,5,4.11,nan,1,LeftWithPellet,Left,4,2,5,0,nan,nan,0.01
7/8/2022 16:52:40,1.12.0,Free_feed,5,4.11,1,1,Pellet,Left,4,2,6,0,Timed_out,1749,nan
7/8/2022 16:56:09,1.12.0,Free_feed,5,4.11,nan,1,LeftWithPellet,Left,5,2,6,0,nan,nan,0.15
7/8/2022 17:05:30,1.12.0,Free_feed,5,4.11,3,1,Pellet,Left,5,2,7,0,Timed_out,769,nan
7/8/2022 17:09:32,1.12.0,Free_feed,5,4.11,nan,1,LeftWithPellet,Left,6,2,7,0,nan,nan,0.50
7/8/2022 17:10:12,1.12.0,Free_feed,5,4.11,nan,1,LeftWithPellet,Left,7,2,7,0,nan,nan,0.21
7/8/2022 17:22:54,1.12.0,Free_feed,5,4.11,2,1,Pellet,Left,7,2,8,0,Timed_out,1044,nan
7/8/2022 17:22:57,1.12.0,Free_feed,5,4.11,1,1,Pellet,Left,7,2,9,0,1.74,4,nan
7/8/2022 17:22:59,1.12.0,Free_feed,5,4.11,1,1,Pellet,Left,7,2,10,0,0.16,2,nan
7/8/2022 17:26:25,1.12.0,Free_feed,5,4.11,nan,1,RightWithPellet,Left,7,3,10,0,nan,nan,0.08
7/8/2022 17:26:59,1.12.0,Free_feed,5,4.11,1,1,Pellet,Left,7,3,11,0,Timed_out,240,nan
7/8/2022 17:27:01,1.12.0,Free_feed,5,4.10,1,1,Pellet,Left,7,3,12,0,0.16,2,nan
7/8/2022 17:40:15,1.12.0,Free_feed,5,4.11,2,1,Pellet,Left,7,3,13,0,Timed_out,794,nan
7/8/2022 17:43:28,1.12.0,Free_feed,5,4.11,nan,1,LeftWithPellet,Left,8,3,13,0,nan,nan,0.26
7/8/2022 19:12:56,1.12.0,Free_feed,5,4.11,nan,1,RightWithPellet,Left,8,4,13,0,nan,nan,0.98
7/8/2022 19:29:58,1.12.0,Free_feed,5,4.11,4,1,Pellet,Left,8,4,14,0,Timed_out,6583,nan
7/8/2022 19:30:00,1.12.0,Free_feed,5,4.10,1,1,Pellet,Left,8,4,15,0,0.16,2,nan
7/8/2022 19:32:04,1.12.0,Free_feed,5,4.10,3,1,Pellet,Left,8,4,16,0,Timed_out,124,nan
7/8/2022 19:34:38,1.12.0,Free_feed,5,4.11,1,1,Pellet,Left,8,4,17,0,Timed_out,154,nan
7/8/2022 19:36:26,1.12.0,Free_feed,5,4.10,2,1,Pellet,Left,8,4,18,0,Timed_out,108,nan
7/8/2022 19:36:28,1.12.0,Free_feed,5,4.11,1,1,Pellet,Left,8,4,19,0,0.29,1,nan
7/8/2022 19:39:07,1.12.0,Free_feed,5,4.10,2,1,Pellet,Left,8,4,20,0,Timed_out,160,nan
7/8/2022 19:41:13,1.12.0,Free_feed,5,4.10,2,1,Pellet,Left,8,4,21,0,Timed_out,125,nan
7/8/2022 19:44:33,1.12.0,Free_feed,5,4.10,1,1,Pellet,Left,8,4,22,0,Timed_out,201,nan
7/8/2022 19:48:36,1.12.0,Free_feed,5,4.11,1,1,Pellet,Left,8,4,23,0,Timed_out,243,nan
7/8/2022 19:49:04,1.12.0,Free_feed,5,4.10,nan,1,LeftWithPellet,Left,9,4,23,0,nan,nan,0.93
7/8/2022 19:55:43,1.12.0,Free_feed,5,4.10,1,1,Pellet,Left,9,4,24,0,Timed_out,427,nan
7/8/2022 19:58:12,1.12.0,Free_feed,5,4.10,1,1,Pellet,Left,9,4,25,0,Timed_out,149,nan
7/8/2022 20:03:36,1.12.0,Free_feed,5,4.11,2,1,Pellet,Left,9,4,26,0,Timed_out,323,nan
7/8/2022 20:10:44,1.12.0,Free_feed,5,4.10,1,1,Pellet,Left,9,4,27,0,Timed_out,428,nan
7/8/2022 20:11:26,1.12.0,Free_feed,5,4.11,1,1,Pellet,Left,9,4,28,0,35.87,43,nan
7/8/2022 20:16:28,1.12.0,Free_feed,5,4.10,1,1,Pellet,Left,9,4,29,0,Timed_out,302,nan
7/8/2022 20:17:10,1.12.0,Free_feed,5,4.11,2,1,Pellet,Left,9,4,30,0,32.57,42,nan
7/8/2022 20:19:09,1.12.0,Free_feed,5,4.10,nan,1,RightWithPellet,Left,9,5,30,0,nan,nan,0.02
7/8/2022 20:21:07,1.12.0,Free_feed,5,4.11,1,1,Pellet,Left,9,5,31,0,Timed_out,237,nan
7/8/2022 20:23:16,1.12.0,Free_feed,5,4.10,1,1,Pellet,Left,9,5,32,0,Timed_out,129,nan
7/8/2022 20:25:35,1.12.0,Free_feed,5,4.10,1,1,Pellet,Left,9,5,33,0,Timed_out,138,nan
7/8/2022 20:31:24,1.12.0,Free_feed,5,4.11,nan,1,RightWithPellet,Left,9,6,33,0,nan,nan,0.04
7/8/2022 20:36:26,1.12.0,Free_feed,5,4.11,1,1,Pellet,Left,9,6,34,0,Timed_out,652,nan
7/8/2022 20:37:04,1.12.0,Free_feed,5,4.11,3,1,Pellet,Left,9,6,35,0,27.87,38,nan
7/8/2022 20:37:43,1.12.0,Free_feed,5,4.10,2,1,Pellet,Left,9,6,36,0,31.25,39,nan
7/8/2022 20:38:18,1.12.0,Free_feed,5,4.10,2,1,Pellet,Left,9,6,37,0,32.13,34,nan
7/8/2022 20:43:33,1.12.0,Free_feed,5,4.10,2,1,Pellet,Left,9,6,38,0,Timed_out,316,nan
7/8/2022 20:43:35,1.12.0,Free_feed,5,4.10,1,1,Pellet,Left,9,6,39,0,0.16,2,nan
7/8/2022 20:45:29,1.12.0,Free_feed,5,4.11,1,1,Pellet,Left,9,6,40,0,Timed_out,113,nan
7/8/2022 20:51:44,1.12.0,Free_feed,5,4.10,5,1,Pellet,Left,9,6,41,0,Timed_out,376,nan
7/8/2022 20:54:04,1.12.0,Free_feed,5,4.10,2,1,Pellet,Left,9,6,42,0,Timed_out,140,nan
7/8/2022 20:55:55,1.12.0,Free_feed,5,4.09,1,1,Pellet,Left,9,6,43,0,Timed_out,111,nan
7/8/2022 20:57:09,1.12.0,Free_feed,5,4.10,1,1,Pellet,Left,9,6,44,0,Timed_out,74,nan
7/8/2022 21:00:23,1.12.0,Free_feed,5,4.10,3,1,Pellet,Left,9,6,45,0,Timed_out,194,nan
7/8/2022 21:04:29,1.12.0,Free_feed,5,4.10,2,1,Pellet,Left,9,6,46,0,Timed_out,246,nan
7/8/2022 21:04:33,1.12.0,Free_feed,5,4.10,1,1,Pellet,Left,9,6,47,0,0.16,4,nan
7/8/2022 21:05:49,1.12.0,Free_feed,5,4.10,1,1,Pellet,Left,9,6,48,0,Timed_out,75,nan
7/8/2022 21:06:17,1.12.0,Free_feed,5,4.09,1,1,Pellet,Left,9,6,49,0,21.39,29,nan
7/8/2022 21:07:51,1.12.0,Free_feed,5,4.09,1,1,Pellet,Left,9,6,50,0,Timed_out,94,nan
7/8/2022 21:08:54,1.12.0,Free_feed,5,4.09,nan,1,RightWithPellet,Left,9,7,50,0,nan,nan,0.10
7/8/2022 21:10:13,1.12.0,Free_feed,5,4.10,nan,1,RightWithPellet,Left,9,8,50,0,nan,nan,0.31
7/8/2022 21:46:17,1.12.0,Free_feed,5,4.10,1,1,Pellet,Left,9,8,51,0,Timed_out,2305,nan
7/8/2022 21:46:49,1.12.0,Free_feed,5,4.09,2,1,Pellet,Left,9,8,52,0,22.46,32,nan
7/8/2022 21:46:50,1.12.0,Free_feed,5,4.09,1,1,Pellet,Left,9,8,53,0,0.16,2,nan
7/8/2022 22:00:40,1.12.0,Free_feed,5,4.09,nan,1,LeftWithPellet,Left,10,8,53,0,nan,nan,0.35
7/8/2022 22:26:22,1.12.0,Free_feed,5,4.09,nan,1,RightWithPellet,Left,10,9,53,0,nan,nan,0.72
7/8/2022 22:38:46,1.12.0,Free_feed,5,4.09,nan,1,LeftWithPellet,Left,11,9,53,0,nan,nan,0.27
7/8/2022 22:44:32,1.12.0,Free_feed,5,4.09,nan,1,RightWithPellet,Left,11,10,53,0,nan,nan,0.50
7/8/2022 22:48:28,1.12.0,Free_feed,5,4.09,nan,1,LeftWithPellet,Left,12,10,53,0,nan,nan,0.45
7/8/2022 23:01:22,1.12.0,Free_feed,5,4.09,nan,1,RightWithPellet,Left,12,11,53,0,nan,nan,0.03
7/8/2022 23:09:46,1.12.0,Free_feed,5,4.09,1,1,Pellet,Left,12,11,54,0,Timed_out,4976,nan
7/8/2022 23:10:00,1.12.0,Free_feed,5,4.09,2,1,Pellet,Left,12,11,55,0,5.03,14,nan
7/8/2022 23:10:34,1.12.0,Free_feed,5,4.09,1,1,Pellet,Left,12,11,56,0,26.86,34,nan
7/8/2022 23:11:03,1.12.0,Free_feed,5,4.09,1,1,Pellet,Left,12,11,57,0,22.02,29,nan
7/8/2022 23:11:22,1.12.0,Free_feed,5,4.09,1,1,Pellet,Left,12,11,58,0,11.36,18,nan
7/8/2022 23:11:23,1.12.0,Free_feed,5,4.10,1,1,Pellet,Left,12,11,59,0,0.16,2,nan
7/8/2022 23:11:25,1.12.0,Free_feed,5,4.09,1,1,Pellet,Left,12,11,60,0,0.47,2,nan
7/8/2022 23:11:46,1.12.0,Free_feed,5,4.09,1,1,Pellet,Left,12,11,61,0,14.21,21,nan
7/8/2022 23:12:08,1.12.0,Free_feed,5,4.09,1,1,Pellet,Left,12,11,62,0,13.64,22,nan
7/8/2022 23:12:27,1.12.0,Free_feed,5,4.09,1,1,Pellet,Left,12,11,63,0,11.62,19,nan
7/8/2022 23:12:56,1.12.0,Free_feed,5,4.09,2,1,Pellet,Left,12,11,64,0,19.93,29,nan
7/8/2022 23:13:10,1.12.0,Free_feed,5,4.09,1,1,Pellet,Left,12,11,65,0,6.42,13,nan
7/8/2022 23:13:42,1.12.0,Free_feed,5,4.09,1,1,Pellet,Left,12,11,66,0,28.64,33,nan
7/8/2022 23:13:50,1.12.0,Free_feed,5,4.09,1,1,Pellet,Left,12,11,67,0,1.29,8,nan
7/8/2022 23:14:00,1.12.0,Free_feed,5,4.09,2,1,Pellet,Left,12,11,68,0,0.16,10,nan
7/8/2022 23:15:07,1.12.0,Free_feed,5,4.09,2,1,Pellet,Left,12,11,69,0,56.91,67,nan
7/8/2022 23:16:25,1.12.0,Free_feed,5,4.09,1,1,Pellet,Left,12,11,70,0,Timed_out,77,nan
7/8/2022 23:16:48,1.12.0,Free_feed,5,4.09,1,1,Pellet,Left,12,11,71,0,15.48,23,nan
7/8/2022 23:17:06,1.12.0,Free_feed,5,4.09,1,1,Pellet,Left,12,11,72,0,10.85,19,nan
7/8/2022 23:18:24,1.12.0,Free_feed,5,4.09,1,1,Pellet,Left,12,11,73,0,Timed_out,78,nan
7/8/2022 23:24:42,1.12.0,Free_feed,5,4.09,1,1,Pellet,Left,12,11,74,0,Timed_out,377,nan
7/8/2022 23:34:18,1.12.0,Free_feed,5,4.09,2,1,Pellet,Left,12,11,75,0,Timed_out,576,nan
7/8/2022 23:35:04,1.12.0,Free_feed,5,4.09,2,1,Pellet,Left,12,11,76,0,36.58,47,nan
7/8/2022 23:39:00,1.12.0,Free_feed,5,4.09,nan,1,LeftWithPellet,Left,13,11,76,0,nan,nan,0.25
7/8/2022 23:39:21,1.12.0,Free_feed,5,4.09,2,1,Pellet,Left,13,11,77,0,Timed_out,257,nan
7/8/2022 23:39:23,1.12.0,Free_feed,5,4.09,1,1,Pellet,Left,13,11,78,0,0.16,1,nan
7/8/2022 23:40:01,1.12.0,Free_feed,5,4.09,1,1,Pellet,Left,13,11,79,0,31.06,39,nan
7/8/2022 23:40:03,1.12.0,Free_feed,5,4.09,1,1,Pellet,Left,13,11,80,0,0.16,1,nan
7/9/2022 0:23:42,1.12.0,Free_feed,5,4.09,1,1,Pellet,Left,13,11,81,0,Timed_out,2619,nan
7/9/2022 0:24:03,1.12.0,Free_feed,5,4.09,1,1,Pellet,Left,13,11,82,0,13.83,22,nan
7/9/2022 0:24:52,1.12.0,Free_feed,5,4.09,1,1,Pellet,Left,13,11,83,0,42.29,49,nan
7/9/2022 0:28:50,1.12.0,Free_feed,5,4.09,nan,1,RightWithPellet,Left,13,12,83,0,nan,nan,0.73
7/9/2022 0:29:04,1.12.0,Free_feed,5,4.09,nan,1,RightWithPellet,Left,13,13,83,0,nan,nan,0.38
7/9/2022 0:29:28,1.12.0,Free_feed,5,4.09,nan,1,RightWithPellet,Left,13,14,83,0,nan,nan,0.10
7/9/2022 0:29:29,1.12.0,Free_feed,5,4.09,nan,1,RightWithPellet,Left,13,15,83,0,nan,nan,0.15
7/9/2022 0:29:32,1.12.0,Free_feed,5,4.09,nan,1,RightWithPellet,Left,13,16,83,0,nan,nan,0.00
7/9/2022 0:29:36,1.12.0,Free_feed,5,4.09,nan,1,RightWithPellet,Left,13,17,83,0,nan,nan,0.02
7/9/2022 0:30:45,1.12.0,Free_feed,5,4.08,nan,1,RightWithPellet,Left,13,18,83,0,nan,nan,0.04
7/9/2022 0:32:13,1.12.0,Free_feed,5,4.09,1,1,Pellet,Left,13,18,84,0,Timed_out,440,nan
7/9/2022 0:32:21,1.12.0,Free_feed,5,4.09,1,1,Pellet,Left,13,18,85,0,1.36,9,nan
7/9/2022 0:32:42,1.12.0,Free_feed,5,4.09,1,1,Pellet,Left,13,18,86,0,13.97,21,nan
7/9/2022 0:33:07,1.12.0,Free_feed,5,4.09,1,1,Pellet,Left,13,18,87,0,23.04,25,nan
7/9/2022 0:34:00,1.12.0,Free_feed,5,4.09,1,1,Pellet,Left,13,18,88,0,45.59,53,nan
7/9/2022 0:34:02,1.12.0,Free_feed,5,4.09,1,1,Pellet,Left,13,18,89,0,0.47,2,nan
7/9/2022 0:34:04,1.12.0,Free_feed,5,4.09,1,1,Pellet,Left,13,18,90,0,0.16,2,nan
7/9/2022 0:35:38,1.12.0,Free_feed,5,4.09,1,1,Pellet,Left,13,18,91,0,Timed_out,93,nan
7/9/2022 0:54:48,1.12.0,Free_feed,5,4.09,1,1,Pellet,Left,13,18,92,0,Timed_out,1150,nan
7/9/2022 1:03:06,1.12.0,Free_feed,5,4.09,2,1,Pellet,Left,13,18,93,0,Timed_out,499,nan
7/9/2022 1:03:43,1.12.0,Free_feed,5,4.09,1,1,Pellet,Left,13,18,94,0,29.39,37,nan
7/9/2022 1:09:37,1.12.0,Free_feed,5,4.09,1,1,Pellet,Left,13,18,95,0,Timed_out,353,nan
7/9/2022 1:10:21,1.12.0,Free_feed,5,4.09,1,1,Pellet,Left,13,18,96,0,37.52,45,nan
7/9/2022 1:13:02,1.12.0,Free_feed,5,4.09,1,1,Pellet,Left,13,18,97,0,Timed_out,161,nan
7/9/2022 1:14:51,1.12.0,Free_feed,5,4.08,1,1,Pellet,Left,13,18,98,0,Timed_out,109,nan
7/9/2022 1:15:17,1.12.0,Free_feed,5,4.09,1,1,Pellet,Left,13,18,99,0,19.28,26,nan
7/9/2022 1:15:46,1.12.0,Free_feed,5,4.09,nan,1,LeftWithPellet,Left,14,18,99,0,nan,nan,0.21
7/9/2022 1:15:48,1.12.0,Free_feed,5,4.09,nan,1,LeftWithPellet,Left,15,18,99,0,nan,nan,1.00
7/9/2022 1:15:50,1.12.0,Free_feed,5,4.09,nan,1,LeftWithPellet,Left,16,18,99,0,nan,nan,0.36
7/9/2022 1:15:53,1.12.0,Free_feed,5,4.09,nan,1,LeftWithPellet,Left,17,18,99,0,nan,nan,0.36
7/9/2022 1:15:54,1.12.0,Free_feed,5,4.09,nan,1,LeftWithPellet,Left,18,18,99,0,nan,nan,0.06
7/9/2022 1:15:57,1.12.0,Free_feed,5,4.09,nan,1,LeftWithPellet,Left,19,18,99,0,nan,nan,0.28
7/9/2022 1:17:50,1.12.0,Free_feed,5,4.09,1,1,Pellet,Left,19,18,100,0,Timed_out,153,nan
7/9/2022 1:17:52,1.12.0,Free_feed,5,4.09,1,1,Pellet,Left,19,18,101,0,0.16,2,nan
7/9/2022 1:19:12,1.12.0,Free_feed,5,4.09,1,1,Pellet,Left,19,18,102,0,Timed_out,80,nan
7/9/2022 1:20:21,1.12.0,Free_feed,5,4.09,nan,1,RightWithPellet,Left,19,19,102,0,nan,nan,0.20
7/9/2022 1:20:24,1.12.0,Free_feed,5,4.08,nan,1,RightWithPellet,Left,19,20,102,0,nan,nan,0.03
7/9/2022 1:20:26,1.12.0,Free_feed,5,4.08,nan,1,RightWithPellet,Left,19,21,102,0,nan,nan,1.05
7/9/2022 1:20:29,1.12.0,Free_feed,5,4.09,nan,1,RightWithPellet,Left,19,22,102,0,nan,nan,0.11
7/9/2022 1:21:03,1.12.0,Free_feed,5,4.08,1,1,Pellet,Left,19,22,103,0,Timed_out,110,nan
7/9/2022 1:21:22,1.12.0,Free_feed,5,4.09,nan,1,LeftWithPellet,Left,20,22,103,0,nan,nan,0.32
7/9/2022 1:33:15,1.12.0,Free_feed,5,4.09,4,1,Pellet,Left,20,22,104,0,Timed_out,733,nan
7/9/2022 1:36:15,1.12.0,Free_feed,5,4.08,nan,1,RightWithPellet,Left,20,23,104,0,nan,nan,0.03
7/9/2022 1:42:07,1.12.0,Free_feed,5,4.08,2,1,Pellet,Left,20,23,105,0,Timed_out,532,nan
7/9/2022 1:42:37,1.12.0,Free_feed,5,4.08,2,1,Pellet,Left,20,23,106,0,21.70,29,nan
7/9/2022 1:43:01,1.12.0,Free_feed,5,4.09,1,1,Pellet,Left,20,23,107,0,17.26,25,nan
7/9/2022 1:43:03,1.12.0,Free_feed,5,4.09,1,1,Pellet,Left,20,23,108,0,0.16,2,nan
7/9/2022 1:45:27,1.12.0,Free_feed,5,4.08,2,1,Pellet,Left,20,23,109,0,Timed_out,144,nan
7/9/2022 1:52:07,1.12.0,Free_feed,5,4.08,1,1,Pellet,Left,20,23,110,0,Timed_out,399,nan
7/9/2022 1:58:19,1.12.0,Free_feed,5,4.08,1,1,Pellet,Left,20,23,111,0,Timed_out,373,nan
7/9/2022 2:04:08,1.12.0,Free_feed,5,4.08,1,1,Pellet,Left,20,23,112,0,Timed_out,349,nan
7/9/2022 2:06:23,1.12.0,Free_feed,5,4.09,1,1,Pellet,Left,20,23,113,0,Timed_out,135,nan
7/9/2022 2:08:40,1.12.0,Free_feed,5,4.08,1,1,Pellet,Left,20,23,114,0,Timed_out,137,nan
7/9/2022 2:10:06,1.12.0,Free_feed,5,4.09,1,1,Pellet,Left,20,23,115,0,Timed_out,86,nan
7/9/2022 2:11:55,1.12.0,Free_feed,5,4.09,1,1,Pellet,Left,20,23,116,0,Timed_out,108,nan
7/9/2022 2:21:20,1.12.0,Free_feed,5,4.08,1,1,Pellet,Left,20,23,117,0,Timed_out,566,nan
7/9/2022 2:23:56,1.12.0,Free_feed,5,4.08,3,1,Pellet,Left,20,23,118,0,Timed_out,156,nan
7/9/2022 2:24:25,1.12.0,Free_feed,5,4.08,2,1,Pellet,Left,20,23,119,0,21.57,29,nan
7/9/2022 2:25:23,1.12.0,Free_feed,5,4.08,2,1,Pellet,Left,20,23,120,0,50.42,57,nan
7/9/2022 2:27:42,1.12.0,Free_feed,5,4.08,nan,1,RightWithPellet,Left,20,24,120,0,nan,nan,0.25
7/9/2022 2:28:03,1.12.0,Free_feed,5,4.08,2,1,Pellet,Left,20,24,121,0,Timed_out,161,nan
7/9/2022 2:36:38,1.12.0,Free_feed,5,4.08,2,1,Pellet,Left,20,24,122,0,Timed_out,515,nan
7/9/2022 2:46:38,1.12.0,Free_feed,5,4.08,2,1,Pellet,Left,20,24,123,0,Timed_out,600,nan
7/9/2022 2:50:47,1.12.0,Free_feed,5,4.08,nan,1,LeftWithPellet,Left,21,24,123,0,nan,nan,0.11
7/9/2022 2:53:44,1.12.0,Free_feed,5,4.08,1,1,Pellet,Left,21,24,124,0,Timed_out,426,nan
7/9/2022 2:54:37,1.12.0,Free_feed,5,4.07,nan,1,LeftWithPellet,Left,22,24,124,0,nan,nan,0.09
7/9/2022 2:54:38,1.12.0,Free_feed,5,4.08,nan,1,LeftWithPellet,Left,23,24,124,0,nan,nan,0.08
7/9/2022 2:54:41,1.12.0,Free_feed,5,4.08,nan,1,LeftWithPellet,Left,24,24,124,0,nan,nan,0.03
7/9/2022 2:54:42,1.12.0,Free_feed,5,4.08,nan,1,LeftWithPellet,Left,25,24,124,0,nan,nan,0.93
7/9/2022 2:56:18,1.12.0,Free_feed,5,4.08,1,1,Pellet,Left,25,24,125,0,Timed_out,154,nan
7/9/2022 3:11:43,1.12.0,Free_feed,5,4.08,1,1,Pellet,Left,25,24,126,0,Timed_out,925,nan
7/9/2022 3:19:27,1.12.0,Free_feed,5,4.07,1,1,Pellet,Left,25,24,127,0,Timed_out,464,nan
7/9/2022 3:20:40,1.12.0,Free_feed,5,4.08,2,1,Pellet,Left,25,24,128,0,Timed_out,73,nan
7/9/2022 3:21:13,1.12.0,Free_feed,5,4.07,1,1,Pellet,Left,25,24,129,0,26.29,33,nan
7/9/2022 3:21:15,1.12.0,Free_feed,5,4.08,1,1,Pellet,Left,25,24,130,0,0.16,2,nan
7/9/2022 3:21:58,1.12.0,Free_feed,5,4.08,1,1,Pellet,Left,25,24,131,0,34.54,43,nan
7/9/2022 3:44:34,1.12.0,Free_feed,5,4.07,1,1,Pellet,Left,25,24,132,0,Timed_out,1356,nan
