MM:DD:YYYY hh:mm:ss,Device_Number,Battery_Voltage,Motor_Turns,Session_Type,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Retrieval_Time,Concat_#,Mode
2020-07-21 17:09:28,9,3.85,2,Free_feed,Pellet,Left,0,0,1,37.0,0,FED
2020-07-21 17:11:12,9,3.85,2,Free_feed,Pellet,Left,0,0,2,99.0,0,FED
2020-07-21 17:11:56,9,3.85,1,Free_feed,Pellet,Left,0,0,3,4.0,0,FED
2020-07-21 17:12:59,9,3.84,1,Free_feed,Pellet,Left,0,0,4,60.0,0,FED
2020-07-21 17:14:57,9,3.84,2,Free_feed,Pellet,Left,0,0,5,114.0,0,FED
2020-07-21 17:15:08,9,3.85,1,Free_feed,Pellet,Left,0,0,6,7.0,0,FED
2020-07-21 17:15:18,9,3.84,1,Free_feed,Pellet,Left,0,0,7,8.0,0,FED
2020-07-21 17:17:20,9,3.85,1,Free_feed,Pellet,Left,0,0,8,119.0,0,FED
2020-07-21 17:18:26,9,3.84,1,Free_feed,Pellet,Left,0,0,9,20.0,0,FED
2020-07-21 17:27:01,9,3.84,1,Free_feed,Pellet,Left,0,0,10,105.0,0,FED
2020-07-21 17:27:45,9,3.85,1,Free_feed,Pellet,Left,0,0,11,25.0,0,FED
2020-07-21 17:32:30,9,3.84,1,Free_feed,Pellet,Left,0,0,12,5.0,0,FED
2020-07-21 17:38:30,9,3.84,1,Free_feed,Pellet,Left,0,0,13,0.0,0,FED
2020-07-21 18:13:03,9,3.84,2,Free_feed,Pellet,Left,0,0,14,7.0,0,FED
2020-07-21 18:13:17,9,3.85,1,Free_feed,Pellet,Left,0,0,15,11.0,0,FED
2020-07-21 18:13:27,9,3.85,1,Free_feed,Pellet,Left,0,0,16,7.0,0,FED
2020-07-21 18:14:37,9,3.84,1,Free_feed,Pellet,Left,0,0,17,67.0,0,FED
2020-07-21 18:18:21,9,3.84,1,Free_feed,Pellet,Left,0,0,18,0.0,0,FED
2020-07-21 18:18:28,9,3.83,1,Free_feed,Pellet,Left,0,0,19,5.0,0,FED
2020-07-21 18:24:01,9,3.85,1,Free_feed,Pellet,Left,0,0,20,0.0,0,FED
2020-07-21 18:24:21,9,3.84,1,Free_feed,Pellet,Left,0,0,21,17.0,0,FED
2020-07-21 18:24:32,9,3.84,3,Free_feed,Pellet,Left,0,0,22,4.0,0,FED
2020-07-21 18:28:43,9,3.83,1,Free_feed,Pellet,Left,0,0,23,4.0,0,FED
2020-07-21 18:29:03,9,3.84,1,Free_feed,Pellet,Left,0,0,24,17.0,0,FED
2020-07-21 18:29:08,9,3.84,1,Free_feed,Pellet,Left,0,0,25,3.0,0,FED
2020-07-21 18:32:28,9,3.83,1,Free_feed,Pellet,Left,0,0,26,90.0,0,FED
2020-07-21 18:33:47,9,3.84,1,Free_feed,Pellet,Left,0,0,27,77.0,0,FED
2020-07-21 18:34:09,9,3.84,1,Free_feed,Pellet,Left,0,0,28,20.0,0,FED
2020-07-21 18:43:37,9,3.84,1,Free_feed,Pellet,Left,0,0,29,0.0,0,FED
2020-07-21 18:43:58,9,3.83,5,Free_feed,Pellet,Left,0,0,30,9.0,0,FED
2020-07-21 18:44:13,9,3.83,1,Free_feed,Pellet,Left,0,0,31,12.0,0,FED
2020-07-21 18:44:22,9,3.84,1,Free_feed,Pellet,Left,0,0,32,6.0,0,FED
2020-07-21 18:44:51,9,3.84,1,Free_feed,Pellet,Left,0,0,33,25.0,0,FED
2020-07-21 18:45:09,9,3.83,1,Free_feed,Pellet,Left,0,0,34,15.0,0,FED
2020-07-21 18:45:24,9,3.84,1,Free_feed,Pellet,Left,0,0,35,13.0,0,FED
2020-07-21 18:48:41,9,3.84,1,Free_feed,Pellet,Left,0,0,36,0.0,0,FED
2020-07-21 18:54:41,9,3.84,1,Free_feed,Pellet,Left,0,0,37,0.0,0,FED
2020-07-21 19:03:38,9,3.83,2,Free_feed,Pellet,Left,0,0,38,2.0,0,FED
2020-07-21 19:05:06,9,3.84,1,Free_feed,Pellet,Left,0,0,39,85.0,0,FED
2020-07-21 19:06:41,9,3.83,1,Free_feed,Pellet,Left,0,0,40,92.0,0,FED
2020-07-21 19:10:44,9,3.84,3,Free_feed,Pellet,Left,0,0,41,0.0,0,FED
2020-07-21 19:11:48,9,3.84,1,Free_feed,Pellet,Left,0,0,42,62.0,0,FED
2020-07-21 19:12:09,9,3.84,2,Free_feed,Pellet,Left,0,0,43,18.0,0,FED
2020-07-21 19:12:47,9,3.83,1,Free_feed,Pellet,Left,0,0,44,35.0,0,FED
2020-07-21 19:13:11,9,3.84,1,Free_feed,Pellet,Left,0,0,45,21.0,0,FED
2020-07-21 19:13:30,9,3.84,1,Free_feed,Pellet,Left,0,0,46,16.0,0,FED
2020-07-21 19:16:13,9,3.83,1,Free_feed,Pellet,Left,0,0,47,0.0,0,FED
2020-07-21 19:32:16,9,3.83,2,Free_feed,Pellet,Left,0,0,48,73.0,0,FED
2020-07-21 19:32:36,9,3.83,2,Free_feed,Pellet,Left,0,0,49,16.0,0,FED
2020-07-21 19:33:47,9,3.83,1,Free_feed,Pellet,Left,0,0,50,68.0,0,FED
2020-07-21 19:34:02,9,3.84,1,Free_feed,Pellet,Left,0,0,51,11.0,0,FED
2020-07-21 19:34:38,9,3.83,1,Free_feed,Pellet,Left,0,0,52,34.0,0,FED
2020-07-21 19:34:58,9,3.84,1,Free_feed,Pellet,Left,0,0,53,17.0,0,FED
2020-07-21 19:42:00,9,3.84,2,Free_feed,Pellet,Left,0,0,54,0.0,0,FED
2020-07-21 19:42:03,9,3.84,1,Free_feed,Pellet,Left,0,0,55,0.0,0,FED
2020-07-21 19:42:21,9,3.84,2,Free_feed,Pellet,Left,0,0,56,14.0,0,FED
2020-07-21 19:42:56,9,3.84,1,Free_feed,Pellet,Left,0,0,57,32.0,0,FED
2020-07-21 19:44:39,9,3.84,1,Free_feed,Pellet,Left,0,0,58,100.0,0,FED
2020-07-21 20:09:44,9,3.84,1,Free_feed,Pellet,Left,0,0,59,0.0,0,FED
2020-07-21 20:12:54,9,3.84,1,Free_feed,Pellet,Left,0,0,60,10.0,0,FED
2020-07-21 20:14:05,9,3.84,1,Free_feed,Pellet,Left,0,0,61,68.0,0,FED
2020-07-21 20:17:52,9,3.84,1,Free_feed,Pellet,Left,0,0,62,0.0,0,FED
2020-07-21 20:18:22,9,3.84,1,Free_feed,Pellet,Left,0,0,63,1.0,0,FED
2020-07-21 20:18:33,9,3.83,2,Free_feed,Pellet,Left,0,0,64,5.0,0,FED
2020-07-21 20:18:52,9,3.84,2,Free_feed,Pellet,Left,0,0,65,15.0,0,FED
2020-07-21 20:19:05,9,3.83,2,Free_feed,Pellet,Left,0,0,66,8.0,0,FED
2020-07-21 20:19:33,9,3.83,1,Free_feed,Pellet,Left,0,0,67,24.0,0,FED
2020-07-21 20:19:51,9,3.84,1,Free_feed,Pellet,Left,0,0,68,16.0,0,FED
2020-07-21 20:20:20,9,3.84,1,Free_feed,Pellet,Left,0,0,69,26.0,0,FED
2020-07-21 20:20:41,9,3.84,1,Free_feed,Pellet,Left,0,0,70,18.0,0,FED
2020-07-21 20:21:05,9,3.84,1,Free_feed,Pellet,Left,0,0,71,21.0,0,FED
2020-07-21 20:29:25,9,3.84,1,Free_feed,Pellet,Left,0,0,72,0.0,0,FED
2020-07-21 20:29:43,9,3.83,1,Free_feed,Pellet,Left,0,0,73,15.0,0,FED
2020-07-21 20:47:25,9,3.84,1,Free_feed,Pellet,Left,0,0,74,0.0,0,FED
2020-07-21 20:48:51,9,3.83,1,Free_feed,Pellet,Left,0,0,75,83.0,0,FED
2020-07-21 20:49:06,9,3.83,1,Free_feed,Pellet,Left,0,0,76,13.0,0,FED
2020-07-21 20:50:05,9,3.84,1,Free_feed,Pellet,Left,0,0,77,56.0,0,FED
2020-07-21 20:50:17,9,3.84,2,Free_feed,Pellet,Left,0,0,78,7.0,0,FED
2020-07-21 20:51:03,9,3.83,1,Free_feed,Pellet,Left,0,0,79,43.0,0,FED
2020-07-21 20:56:13,9,3.83,1,Free_feed,Pellet,Left,0,0,80,0.0,0,FED
2020-07-21 20:56:39,9,3.84,1,Free_feed,Pellet,Left,0,0,81,22.0,0,FED
2020-07-21 21:18:48,9,3.84,1,Free_feed,Pellet,Left,0,0,82,0.0,0,FED
2020-07-21 21:19:13,9,3.84,1,Free_feed,Pellet,Left,0,0,83,22.0,0,FED
2020-07-21 21:19:42,9,3.84,2,Free_feed,Pellet,Left,0,0,84,24.0,0,FED
2020-07-21 21:19:58,9,3.84,1,Free_feed,Pellet,Left,0,0,85,13.0,0,FED
2020-07-21 21:20:20,9,3.84,2,Free_feed,Pellet,Left,0,0,86,17.0,0,FED
2020-07-21 21:20:38,9,3.84,1,Free_feed,Pellet,Left,0,0,87,16.0,0,FED
2020-07-21 21:21:00,9,3.84,1,Free_feed,Pellet,Left,0,0,88,19.0,0,FED
2020-07-21 21:21:21,9,3.83,1,Free_feed,Pellet,Left,0,0,89,17.0,0,FED
2020-07-21 22:09:57,9,3.83,1,Free_feed,Pellet,Left,0,0,90,41.0,0,FED
2020-07-21 22:11:07,9,3.84,2,Free_feed,Pellet,Left,0,0,91,64.0,0,FED
2020-07-21 22:11:24,9,3.84,1,Free_feed,Pellet,Left,0,0,92,15.0,0,FED
2020-07-21 22:31:43,9,3.84,1,Free_feed,Pellet,Left,0,0,93,0.0,0,FED
2020-07-21 22:32:19,9,3.84,1,Free_feed,Pellet,Left,0,0,94,32.0,0,FED
2020-07-21 22:32:34,9,3.84,1,Free_feed,Pellet,Left,0,0,95,13.0,0,FED
2020-07-21 22:32:55,9,3.84,1,Free_feed,Pellet,Left,0,0,96,18.0,0,FED
2020-07-21 22:33:18,9,3.84,1,Free_feed,Pellet,Left,0,0,97,21.0,0,FED
2020-07-21 22:33:37,9,3.83,1,Free_feed,Pellet,Left,0,0,98,16.0,0,FED
