MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
4/1/2022 15:32:56,1.12.0,FR1,7,4.15,,1,RightWithPellet,Left,0,1,0,0,,,0.01
4/1/2022 15:33:17,1.12.0,FR1,7,4.15,,1,RightWithPellet,Left,0,2,0,0,,,0.06
4/1/2022 15:35:47,1.12.0,FR1,7,4.15,,1,LeftWithPellet,Left,1,2,0,0,,,0.22
4/1/2022 15:36:55,1.12.0,FR1,7,4.15,,1,LeftWithPellet,Left,2,2,0,0,,,0.02
4/1/2022 15:41:58,1.12.0,FR1,7,4.16,3.0,1,Pellet,Left,2,2,1,0,Timed_out,,
4/1/2022 15:43:23,1.12.0,FR1,7,4.16,,1,LeftWithPellet,Left,3,2,1,0,,,0.04
4/1/2022 15:48:14,1.12.0,FR1,7,4.15,,1,LeftWithPellet,Left,4,2,1,0,,,0.02
4/1/2022 15:58:33,1.12.0,FR1,7,4.15,,1,RightWithPellet,Left,4,3,1,0,,,0.2
4/1/2022 16:04:48,1.12.0,FR1,7,4.15,,1,RightWithPellet,Left,4,4,1,0,,,0.28
4/1/2022 16:06:17,1.12.0,FR1,7,4.15,,1,RightWithPellet,Left,4,5,1,0,,,0.07
4/1/2022 16:12:10,1.12.0,FR1,7,4.15,,1,LeftWithPellet,Left,5,5,1,0,,,0.22
4/1/2022 16:30:47,1.12.0,FR1,7,4.15,,1,RightWithPellet,Left,5,6,1,0,,,0.22
4/1/2022 16:35:31,1.12.0,FR1,7,4.15,,1,LeftWithPellet,Left,6,6,1,0,,,0.07
4/1/2022 17:33:45,1.12.0,FR1,7,4.14,1.0,1,Pellet,Left,6,6,2,0,Timed_out,6708.0,
4/1/2022 17:33:48,1.12.0,FR1,7,4.14,1.0,1,Pellet,Left,6,6,3,0,2.19,3.0,
4/1/2022 17:33:49,1.12.0,FR1,7,4.14,1.0,1,Pellet,Left,6,6,4,0,0.06,1.0,
4/1/2022 17:46:39,1.12.0,FR1,7,4.14,2.0,1,Pellet,Left,6,6,5,0,Timed_out,770.0,
4/1/2022 17:46:40,1.12.0,FR1,7,4.14,1.0,1,Pellet,Left,6,6,6,0,0.30,1.0,
4/1/2022 17:53:22,1.12.0,FR1,7,4.14,,1,LeftWithPellet,Left,7,6,6,0,,,0.04
4/1/2022 17:55:32,1.12.0,FR1,7,4.14,1.0,1,Pellet,Left,7,6,7,0,Timed_out,532.0,
4/1/2022 17:56:05,1.12.0,FR1,7,4.15,2.0,1,Pellet,Left,7,6,8,0,25.64,33.0,
4/1/2022 17:56:13,1.12.0,FR1,7,4.14,1.0,1,Pellet,Left,7,6,9,0,6.85,8.0,
4/1/2022 18:03:00,1.12.0,FR1,7,4.14,1.0,1,Pellet,Left,7,6,10,0,Timed_out,407.0,
4/1/2022 18:14:08,1.12.0,FR1,7,4.14,1.0,1,Pellet,Left,7,6,11,0,Timed_out,668.0,
4/1/2022 18:14:09,1.12.0,FR1,7,4.14,1.0,1,Pellet,Left,7,6,12,0,0.12,1.0,
4/1/2022 18:15:40,1.12.0,FR1,7,4.14,1.0,1,Pellet,Left,7,6,13,0,Timed_out,91.0,
4/1/2022 18:16:38,1.12.0,FR1,7,4.14,1.0,1,Pellet,Left,7,6,14,0,50.99,58.0,
4/1/2022 18:25:47,1.12.0,FR1,7,4.14,1.0,1,Pellet,Left,7,6,15,0,Timed_out,549.0,
4/1/2022 18:30:13,1.12.0,FR1,7,4.14,1.0,1,Pellet,Left,7,6,16,0,Timed_out,266.0,
4/1/2022 18:30:52,1.12.0,FR1,7,4.14,1.0,1,Pellet,Left,7,6,17,0,31.74,39.0,
4/1/2022 18:35:25,1.12.0,FR1,7,4.14,,1,RightWithPellet,Left,7,7,17,0,,,1.11
4/1/2022 18:37:18,1.12.0,FR1,7,4.14,1.0,1,Pellet,Left,7,7,18,0,Timed_out,386.0,
4/1/2022 18:46:43,1.12.0,FR1,7,4.14,1.0,1,Pellet,Left,7,7,19,0,Timed_out,565.0,
4/1/2022 18:46:44,1.12.0,FR1,7,4.14,1.0,1,Pellet,Left,7,7,20,0,0.18,1.0,
4/1/2022 18:47:56,1.12.0,FR1,7,4.14,1.0,1,Pellet,Left,7,7,21,0,Timed_out,72.0,
4/1/2022 18:48:28,1.12.0,FR1,7,4.14,1.0,1,Pellet,Left,7,7,22,0,26.26,32.0,
4/1/2022 18:50:34,1.12.0,FR1,7,4.14,1.0,1,Pellet,Left,7,7,23,0,Timed_out,126.0,
4/1/2022 18:52:15,1.12.0,FR1,7,4.14,1.0,1,Pellet,Left,7,7,24,0,Timed_out,101.0,
4/1/2022 18:54:01,1.12.0,FR1,7,4.14,1.0,1,Pellet,Left,7,7,25,0,Timed_out,105.0,
4/1/2022 19:00:16,1.12.0,FR1,7,4.14,1.0,1,Pellet,Left,7,7,26,0,Timed_out,376.0,
4/1/2022 19:00:17,1.12.0,FR1,7,4.14,1.0,1,Pellet,Left,7,7,27,0,0.06,1.0,
4/1/2022 19:03:12,1.12.0,FR1,7,4.14,1.0,1,Pellet,Left,7,7,28,0,Timed_out,175.0,
4/1/2022 19:04:31,1.12.0,FR1,7,4.13,1.0,1,Pellet,Left,7,7,29,0,Timed_out,79.0,
4/1/2022 19:10:21,1.12.0,FR1,7,4.14,1.0,1,Pellet,Left,7,7,30,0,Timed_out,350.0,
4/1/2022 19:18:16,1.12.0,FR1,7,4.14,1.0,1,Pellet,Left,7,7,31,0,Timed_out,475.0,
4/1/2022 19:20:34,1.12.0,FR1,7,4.14,1.0,1,Pellet,Left,7,7,32,0,Timed_out,138.0,
4/1/2022 19:20:36,1.12.0,FR1,7,4.14,1.0,1,Pellet,Left,7,7,33,0,0.06,2.0,
4/1/2022 19:27:17,1.12.0,FR1,7,4.14,1.0,1,Pellet,Left,7,7,34,0,Timed_out,401.0,
4/1/2022 19:27:17,1.12.0,FR1,7,4.14,1.0,1,Pellet,Left,7,7,35,0,0.06,0.0,
4/1/2022 19:27:20,1.12.0,FR1,7,4.14,1.0,1,Pellet,Left,7,7,36,0,1.15,3.0,
4/1/2022 19:28:15,1.12.0,FR1,7,4.14,2.0,1,Pellet,Left,7,7,37,0,46.39,55.0,
4/1/2022 19:29:22,1.12.0,FR1,7,4.14,1.0,1,Pellet,Left,7,7,38,0,Timed_out,67.0,
4/1/2022 19:31:40,1.12.0,FR1,7,4.13,1.0,1,Pellet,Left,7,7,39,0,Timed_out,138.0,
4/1/2022 19:32:52,1.12.0,FR1,7,4.13,1.0,1,Pellet,Left,7,7,40,0,Timed_out,72.0,
4/1/2022 19:33:28,1.12.0,FR1,7,4.13,1.0,1,Pellet,Left,7,7,41,0,35.31,36.0,
4/1/2022 19:33:41,1.12.0,FR1,7,4.14,1.0,1,Pellet,Left,7,7,42,0,5.69,13.0,
4/1/2022 19:38:17,1.12.0,FR1,7,4.13,,1,LeftWithPellet,Left,8,7,42,0,,,0.03
4/1/2022 19:38:39,1.12.0,FR1,7,4.14,1.0,1,Pellet,Left,8,7,43,0,Timed_out,298.0,
4/1/2022 19:40:26,1.12.0,FR1,7,4.14,,1,RightWithPellet,Left,8,8,43,0,,,0.73
4/1/2022 19:50:45,1.12.0,FR1,7,4.13,,1,RightWithPellet,Left,8,9,43,0,,,0.06
4/1/2022 19:52:58,1.12.0,FR1,7,4.13,1.0,1,Pellet,Left,8,9,44,0,Timed_out,859.0,
4/1/2022 19:52:59,1.12.0,FR1,7,4.13,1.0,1,Pellet,Left,8,9,45,0,0.06,1.0,
4/1/2022 19:54:22,1.12.0,FR1,7,4.13,1.0,1,Pellet,Left,8,9,46,0,Timed_out,83.0,
4/1/2022 19:55:02,1.12.0,FR1,7,4.12,1.0,1,Pellet,Left,8,9,47,0,33.09,40.0,
4/1/2022 19:58:07,1.12.0,FR1,7,4.14,1.0,1,Pellet,Left,8,9,48,0,Timed_out,185.0,
4/1/2022 19:58:35,1.12.0,FR1,7,4.13,1.0,1,Pellet,Left,8,9,49,0,21.16,28.0,
4/1/2022 19:59:37,1.12.0,FR1,7,4.14,1.0,1,Pellet,Left,8,9,50,0,Timed_out,62.0,
4/1/2022 20:01:12,1.12.0,FR1,7,4.13,1.0,1,Pellet,Left,8,9,51,0,Timed_out,95.0,
4/1/2022 20:12:48,1.12.0,FR1,7,4.13,,1,LeftWithPellet,Left,9,9,51,0,,,0.27
4/1/2022 20:12:51,1.12.0,FR1,7,4.13,1.0,1,Pellet,Left,9,9,52,0,Timed_out,699.0,
4/1/2022 20:15:40,1.12.0,FR1,7,4.13,1.0,1,Pellet,Left,9,9,53,0,Timed_out,169.0,
4/1/2022 20:18:04,1.12.0,FR1,7,4.13,,1,LeftWithPellet,Left,10,9,53,0,,,0.02
4/1/2022 20:19:17,1.12.0,FR1,7,4.14,1.0,1,Pellet,Left,10,9,54,0,Timed_out,217.0,
4/1/2022 20:19:18,1.12.0,FR1,7,4.12,1.0,1,Pellet,Left,10,9,55,0,0.06,1.0,
4/1/2022 20:19:19,1.12.0,FR1,7,4.13,1.0,1,Pellet,Left,10,9,56,0,0.06,1.0,
4/1/2022 20:22:09,1.12.0,FR1,7,4.13,1.0,1,Pellet,Left,10,9,57,0,Timed_out,170.0,
4/1/2022 20:23:30,1.12.0,FR1,7,4.13,1.0,1,Pellet,Left,10,9,58,0,Timed_out,81.0,
4/1/2022 20:24:16,1.12.0,FR1,7,4.13,,1,RightWithPellet,Left,10,10,58,0,,,0.26
4/1/2022 20:24:45,1.12.0,FR1,7,4.12,,1,RightWithPellet,Left,10,11,58,0,,,0.2
4/1/2022 20:24:52,1.12.0,FR1,7,4.14,1.0,1,Pellet,Left,10,11,59,0,Timed_out,82.0,
4/1/2022 20:24:53,1.12.0,FR1,7,4.12,1.0,1,Pellet,Left,10,11,60,0,0.06,1.0,
4/1/2022 20:25:41,1.12.0,FR1,7,4.13,,1,RightWithPellet,Left,10,12,60,0,,,0.06
4/1/2022 20:26:49,1.12.0,FR1,7,4.13,,1,RightWithPellet,Left,10,13,60,0,,,0.59
4/1/2022 20:26:52,1.12.0,FR1,7,4.12,,1,RightWithPellet,Left,10,14,60,0,,,0.36
4/1/2022 20:27:18,1.12.0,FR1,7,4.13,,1,LeftWithPellet,Left,11,14,60,0,,,0.42
4/1/2022 20:27:26,1.12.0,FR1,7,4.12,,1,RightWithPellet,Left,11,15,60,0,,,0.19
4/1/2022 20:29:27,1.12.0,FR1,7,4.13,,1,RightWithPellet,Left,11,16,60,0,,,0.25
4/1/2022 20:33:28,1.12.0,FR1,7,4.13,,1,RightWithPellet,Left,11,17,60,0,,,0.19
4/1/2022 20:36:58,1.12.0,FR1,7,4.13,,1,RightWithPellet,Left,11,18,60,0,,,0.64
4/1/2022 20:37:41,1.12.0,FR1,7,4.13,,1,LeftWithPellet,Left,12,18,60,0,,,0.76
4/1/2022 20:44:05,1.12.0,FR1,7,4.13,1.0,1,Pellet,Left,12,18,61,0,Timed_out,1152.0,
4/1/2022 20:46:05,1.12.0,FR1,7,4.14,1.0,1,Pellet,Left,12,18,62,0,Timed_out,120.0,
4/1/2022 20:54:04,1.12.0,FR1,7,4.12,1.0,1,Pellet,Left,12,18,63,0,Timed_out,479.0,
4/1/2022 20:54:55,1.12.0,FR1,7,4.12,1.0,1,Pellet,Left,12,18,64,0,44.74,51.0,
4/1/2022 20:56:48,1.12.0,FR1,7,4.12,1.0,1,Pellet,Left,12,18,65,0,Timed_out,113.0,
4/1/2022 20:56:49,1.12.0,FR1,7,4.13,1.0,1,Pellet,Left,12,18,66,0,0.06,0.0,
4/1/2022 20:58:10,1.12.0,FR1,7,4.12,1.0,1,Pellet,Left,12,18,67,0,Timed_out,82.0,
4/1/2022 20:58:12,1.12.0,FR1,7,4.13,1.0,1,Pellet,Left,12,18,68,0,0.60,1.0,
