MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time,Elapsed_Time,Binary_Pellets,Interpellet_Intervals,Binary_Left_Pokes,Binary_Right_Pokes,Correct_Poke,Concat_#,Mode
2023-09-14 18:00:00,1.16.3,Free_feed,6,4.09,1.0,0,Pellet,Left,0,0,1,0,,,,0 days 00:00:00.000000000,1.0,,0.0,0.0,,0,Free_feed
2023-09-14 18:39:04,1.16.3,Free_feed,6,4.09,1.0,0,Pellet,Left,0,0,1,0,,,,0 days 00:00:00.000000000,1.0,,0.0,0.0,,0,Free_feed
2023-09-14 18:39:28,1.16.3,Free_feed,6,4.09,1.0,0,Pellet,Left,0,0,2,0,10.63,23.0,,0 days 00:00:24.000000000,1.0,,0.0,0.0,,0,Free_feed
2023-09-14 18:41:47,1.16.3,Free_feed,6,4.09,1.0,0,Pellet,Left,0,0,3,0,,140.0,,0 days 00:02:43.000000000,1.0,2.316666666666667,0.0,0.0,,0,Free_feed
2023-09-14 18:42:45,1.16.3,Free_feed,6,4.09,1.0,0,Pellet,Left,0,0,4,0,46.1,58.0,,0 days 00:03:41.000000000,1.0,0.9666666666666668,0.0,0.0,,0,Free_feed
2023-09-14 18:43:07,1.16.3,Free_feed,6,4.09,1.0,0,Pellet,Left,0,0,5,0,11.08,22.0,,0 days 00:04:03.000000000,1.0,0.3666666666666666,0.0,0.0,,0,Free_feed
2023-09-14 18:49:45,1.16.3,Free_feed,6,4.09,1.0,0,Pellet,Left,0,0,6,0,,398.0,,0 days 00:10:41.000000000,1.0,6.633333333333334,0.0,0.0,,0,Free_feed
2023-09-14 18:50:02,1.16.3,Free_feed,6,4.09,1.0,0,Pellet,Left,0,0,7,0,4.42,17.0,,0 days 00:10:58.000000000,1.0,0.2833333333333333,0.0,0.0,,0,Free_feed
2023-09-14 19:40:44,1.16.3,Free_feed,6,4.09,1.0,0,Pellet,Left,0,0,8,0,,3042.0,,0 days 01:01:40.000000000,1.0,50.7,0.0,0.0,,0,Free_feed
2023-09-14 19:41:04,1.16.3,Free_feed,6,4.09,1.0,0,Pellet,Left,0,0,9,0,8.22,20.0,,0 days 01:02:00.000000000,1.0,0.3333333333333333,0.0,0.0,,0,Free_feed
2023-09-14 19:41:28,1.16.3,Free_feed,6,4.09,1.0,0,Pellet,Left,0,0,10,0,12.03,24.0,,0 days 01:02:24.000000000,1.0,0.4,0.0,0.0,,0,Free_feed
2023-09-14 19:42:21,1.16.3,Free_feed,6,4.09,1.0,0,Pellet,Left,0,0,11,0,40.82,53.0,,0 days 01:03:17.000000000,1.0,0.8833333333333333,0.0,0.0,,0,Free_feed
2023-09-14 20:01:25,1.16.3,Free_feed,6,4.09,1.0,0,Pellet,Left,0,0,12,0,,1144.0,,0 days 01:22:21.000000000,1.0,19.066666666666663,0.0,0.0,,0,Free_feed
2023-09-14 20:05:52,1.16.3,Free_feed,6,4.09,2.0,0,Pellet,Left,0,0,13,0,,267.0,,0 days 01:26:48.000000000,1.0,4.45,0.0,0.0,,0,Free_feed
2023-09-14 20:11:55,1.16.3,Free_feed,6,4.09,1.0,0,Pellet,Left,0,0,14,0,,363.0,,0 days 01:32:51.000000000,1.0,6.05,0.0,0.0,,0,Free_feed
2023-09-14 20:12:12,1.16.3,Free_feed,6,4.09,1.0,0,Pellet,Left,0,0,15,0,5.12,17.0,,0 days 01:33:08.000000000,1.0,0.2833333333333333,0.0,0.0,,0,Free_feed
2023-09-14 20:18:43,1.16.3,Free_feed,6,4.09,1.0,0,Pellet,Left,0,0,16,0,,391.0,,0 days 01:39:39.000000000,1.0,6.516666666666667,0.0,0.0,,0,Free_feed
2023-09-14 20:19:04,1.16.3,Free_feed,6,4.09,1.0,0,Pellet,Left,0,0,17,0,9.11,21.0,,0 days 01:40:00.000000000,1.0,0.35,0.0,0.0,,0,Free_feed
2023-09-14 20:19:23,1.16.3,Free_feed,6,4.09,1.0,0,Pellet,Left,0,0,18,0,6.51,19.0,,0 days 01:40:19.000000000,1.0,0.3166666666666666,0.0,0.0,,0,Free_feed
2023-09-14 20:27:11,1.16.3,Free_feed,6,4.08,1.0,0,Pellet,Left,0,0,19,0,,468.0,,0 days 01:48:07.000000000,1.0,7.8,0.0,0.0,,0,Free_feed
