MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2/3/2022 11:19:35,1.11.0,Free_feed,18,3.82,1,0,LeftWithPellet,Left,1,0,0,0,,,1.46
2/3/2022 11:19:43,1.11.0,Free_feed,18,3.8,1,0,Pellet,Left,1,0,1,0,Timed_out,,
2/3/2022 11:19:56,1.11.0,Free_feed,18,3.81,1,0,Pellet,Left,1,0,2,0,6.85,13.0,
2/3/2022 11:23:26,1.11.0,Free_feed,18,3.82,1,0,LeftWithPellet,Left,2,0,2,0,,,0.4
2/3/2022 11:25:09,1.11.0,Free_feed,18,3.82,1,0,RightWithPellet,Left,2,1,2,0,,,0.42
2/3/2022 12:28:16,1.11.0,Free_feed,18,3.85,1,0,Pellet,Left,2,1,3,0,Timed_out,4100.0,
2/3/2022 12:29:49,1.11.0,Free_feed,18,3.85,1,0,Pellet,Left,2,1,4,0,Timed_out,93.0,
2/3/2022 12:30:16,1.11.0,Free_feed,18,3.85,1,0,Pellet,Left,2,1,5,0,20.51,27.0,
2/3/2022 12:30:38,1.11.0,Free_feed,18,3.84,1,0,Pellet,Left,2,1,6,0,15.28,22.0,
2/3/2022 12:30:58,1.11.0,Free_feed,18,3.85,1,0,Pellet,Left,2,1,7,0,13.31,20.0,
2/3/2022 12:31:31,1.11.0,Free_feed,18,3.85,2,0,LeftWithPellet,Left,3,1,7,0,,,0.07
2/3/2022 13:02:15,1.11.0,Free_feed,18,3.86,2,0,Pellet,Left,3,1,8,0,Timed_out,1877.0,
2/3/2022 13:43:07,1.11.0,Free_feed,18,3.87,1,0,Pellet,Left,3,1,9,0,Timed_out,2452.0,
2/3/2022 13:43:35,1.11.0,Free_feed,18,3.88,1,0,Pellet,Left,3,1,10,0,21.37,28.0,
2/3/2022 13:44:01,1.11.0,Free_feed,18,3.87,2,0,Pellet,Left,3,1,11,0,17.00,26.0,
2/3/2022 13:44:23,1.11.0,Free_feed,18,3.87,1,0,Pellet,Left,3,1,12,0,15.21,22.0,
2/3/2022 13:44:41,1.11.0,Free_feed,18,3.88,1,0,Pellet,Left,3,1,13,0,10.66,18.0,
2/3/2022 13:45:03,1.11.0,Free_feed,18,3.88,1,0,Pellet,Left,3,1,14,0,16.20,22.0,
2/3/2022 13:45:24,1.11.0,Free_feed,18,3.87,1,0,Pellet,Left,3,1,15,0,13.92,21.0,
2/3/2022 13:45:52,1.11.0,Free_feed,18,3.87,1,0,Pellet,Left,3,1,16,0,20.94,28.0,
2/3/2022 15:05:42,1.11.0,Free_feed,18,3.89,1,0,Pellet,Left,3,1,17,0,Timed_out,4790.0,
2/3/2022 15:06:15,1.11.0,Free_feed,18,3.9,1,0,Pellet,Left,3,1,18,0,25.19,33.0,
2/3/2022 15:06:46,1.11.0,Free_feed,18,3.89,2,0,Pellet,Left,3,1,19,0,22.85,31.0,
2/3/2022 15:07:05,1.11.0,Free_feed,18,3.9,1,0,Pellet,Left,3,1,20,0,11.53,19.0,
2/3/2022 15:07:24,1.11.0,Free_feed,18,3.9,1,0,Pellet,Left,3,1,21,0,12.76,19.0,
2/3/2022 15:17:14,1.11.0,Free_feed,18,3.91,1,0,Pellet,Left,3,1,22,0,Timed_out,589.0,
2/3/2022 16:18:22,1.11.0,Free_feed,18,3.91,1,0,Pellet,Left,3,1,23,0,Timed_out,3669.0,
2/3/2022 16:18:40,1.11.0,Free_feed,18,3.92,2,0,Pellet,Left,3,1,24,0,9.75,18.0,
2/3/2022 16:18:41,1.11.0,Free_feed,18,3.92,1,0,Pellet,Left,3,1,25,0,0.06,1.0,
2/3/2022 16:19:03,1.11.0,Free_feed,18,3.92,2,0,Pellet,Left,3,1,26,0,14.85,22.0,
2/3/2022 16:19:25,1.11.0,Free_feed,18,3.91,3,0,Pellet,Left,3,1,27,0,11.16,22.0,
2/3/2022 16:19:45,1.11.0,Free_feed,18,3.92,1,0,Pellet,Left,3,1,28,0,13.37,20.0,
2/3/2022 16:20:07,1.11.0,Free_feed,18,3.92,1,0,Pellet,Left,3,1,29,0,15.34,22.0,
2/3/2022 16:20:35,1.11.0,Free_feed,18,3.92,1,0,Pellet,Left,3,1,30,0,21.62,28.0,
2/3/2022 16:20:55,1.11.0,Free_feed,18,3.92,2,0,Pellet,Left,3,1,31,0,11.22,20.0,
2/3/2022 16:22:47,1.11.0,Free_feed,18,3.91,1,0,LeftWithPellet,Left,4,1,31,0,,,0.53
2/3/2022 16:54:15,1.11.0,Free_feed,18,3.93,1,0,Pellet,Left,4,1,32,0,Timed_out,2000.0,
2/3/2022 17:01:26,1.11.0,Free_feed,18,3.93,1,0,Pellet,Left,4,1,33,0,Timed_out,431.0,
2/3/2022 18:03:51,1.11.0,Free_feed,18,3.94,1,0,Pellet,Left,4,1,34,0,Timed_out,3745.0,
2/3/2022 18:04:09,1.11.0,Free_feed,18,3.94,1,0,Pellet,Left,4,1,35,0,10.85,18.0,
2/3/2022 18:04:31,1.11.0,Free_feed,18,3.93,2,0,Pellet,Left,4,1,36,0,12.51,21.0,
2/3/2022 18:04:49,1.11.0,Free_feed,18,3.94,2,0,Pellet,Left,4,1,37,0,11.47,19.0,
2/3/2022 18:05:05,1.11.0,Free_feed,18,3.94,1,0,Pellet,Left,4,1,38,0,10.17,16.0,
2/3/2022 18:05:25,1.11.0,Free_feed,18,3.94,1,0,Pellet,Left,4,1,39,0,12.95,20.0,
2/3/2022 18:39:18,1.11.0,Free_feed,18,3.95,1,0,Pellet,Left,4,1,40,0,Timed_out,2033.0,
2/3/2022 18:39:23,1.11.0,Free_feed,18,3.94,1,0,Pellet,Left,4,1,41,0,0.06,5.0,
2/3/2022 18:39:48,1.11.0,Free_feed,18,3.95,1,0,Pellet,Left,4,1,42,0,18.78,25.0,
2/3/2022 18:40:06,1.11.0,Free_feed,18,3.94,1,0,Pellet,Left,4,1,43,0,11.78,18.0,
2/3/2022 18:40:25,1.11.0,Free_feed,18,3.94,1,0,Pellet,Left,4,1,44,0,12.45,19.0,
2/3/2022 18:40:41,1.11.0,Free_feed,18,3.94,1,0,Pellet,Left,4,1,45,0,9.92,16.0,
2/3/2022 18:40:58,1.11.0,Free_feed,18,3.94,1,0,Pellet,Left,4,1,46,0,9.68,17.0,
2/3/2022 18:41:17,1.11.0,Free_feed,18,3.94,1,0,Pellet,Left,4,1,47,0,12.82,19.0,
2/3/2022 19:11:32,1.11.0,Free_feed,18,3.95,1,0,RightWithPellet,Left,4,2,47,0,,,0.09
2/3/2022 19:11:36,1.11.0,Free_feed,18,3.95,1,0,RightWithPellet,Left,4,3,47,0,,,1.55
2/3/2022 19:11:39,1.11.0,Free_feed,18,3.95,1,0,RightWithPellet,Left,4,4,47,0,,,0.62
2/3/2022 19:11:41,1.11.0,Free_feed,18,3.96,1,0,RightWithPellet,Left,4,5,47,0,,,0.04
2/3/2022 19:12:09,1.11.0,Free_feed,18,3.94,1,0,LeftWithPellet,Left,5,5,47,0,,,1.15
2/3/2022 19:12:11,1.11.0,Free_feed,18,3.95,1,0,LeftWithPellet,Left,6,5,47,0,,,0.89
2/3/2022 19:13:34,1.11.0,Free_feed,18,3.96,1,0,RightWithPellet,Left,6,6,47,0,,,0.78
2/3/2022 19:17:44,1.11.0,Free_feed,18,3.96,1,0,LeftWithPellet,Left,7,6,47,0,,,0.33
2/3/2022 19:17:53,1.11.0,Free_feed,18,3.96,1,0,RightWithPellet,Left,7,7,47,0,,,0.85
2/3/2022 19:25:04,1.11.0,Free_feed,18,3.96,1,0,Pellet,Left,7,7,48,0,Timed_out,2627.0,
