MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
3/5/2023 20:29:19,1.17.0,Free_feed,4,4.18,11,1,Pellet,Left,0,0,1,0,Timed_out,,
3/5/2023 21:00:59,1.17.0,Free_feed,4,4.18,1,1,Pellet,Left,0,0,2,0,Timed_out,1900.0,
3/5/2023 21:01:02,1.17.0,Free_feed,4,4.18,1,1,Pellet,Left,0,0,3,0,2.01,3.0,
3/5/2023 21:40:13,1.17.0,Free_feed,4,4.18,4,1,Pellet,Left,0,0,4,0,Timed_out,2350.0,
3/5/2023 21:40:21,1.17.0,Free_feed,4,4.18,1,1,Pellet,Left,0,0,5,0,7.83,9.0,
3/5/2023 21:40:51,1.17.0,Free_feed,4,4.18,2,1,Pellet,Left,0,0,6,0,26.21,30.0,
3/5/2023 21:40:55,1.17.0,Free_feed,4,4.18,1,1,Pellet,Left,0,0,7,0,1.09,4.0,
3/5/2023 21:42:40,1.17.0,Free_feed,4,4.18,1,1,Pellet,Left,0,0,8,0,Timed_out,105.0,
3/5/2023 21:42:42,1.17.0,Free_feed,4,4.18,1,1,Pellet,Left,0,0,9,0,0.06,2.0,
3/5/2023 21:42:48,1.17.0,Free_feed,4,4.18,1,1,Pellet,Left,0,0,10,0,5.50,6.0,
3/5/2023 21:44:11,1.17.0,Free_feed,4,4.17,1,1,Pellet,Left,0,0,11,0,Timed_out,83.0,
3/5/2023 21:44:18,1.17.0,Free_feed,4,4.18,1,1,Pellet,Left,0,0,12,0,4.76,7.0,
3/5/2023 21:44:49,1.17.0,Free_feed,4,4.18,1,1,Pellet,Left,0,0,13,0,25.23,31.0,
3/5/2023 21:44:54,1.17.0,Free_feed,4,4.18,1,1,Pellet,Left,0,0,14,0,0.30,5.0,
3/5/2023 21:45:06,1.17.0,Free_feed,4,4.18,1,1,Pellet,Left,0,0,15,0,4.28,11.0,
3/5/2023 21:45:09,1.17.0,Free_feed,4,4.18,1,1,Pellet,Left,0,0,16,0,2.38,4.0,
3/5/2023 21:45:28,1.17.0,Free_feed,4,4.18,1,1,Pellet,Left,0,0,17,0,12.13,19.0,
3/5/2023 21:47:18,1.17.0,Free_feed,4,4.17,1,1,Pellet,Left,0,0,18,0,Timed_out,110.0,
3/5/2023 22:06:02,1.17.0,Free_feed,4,4.18,1,1,Pellet,Left,0,0,19,0,Timed_out,1124.0,
3/5/2023 22:13:40,1.17.0,Free_feed,4,4.17,1,1,Pellet,Left,0,0,20,0,Timed_out,458.0,
3/5/2023 22:14:23,1.17.0,Free_feed,4,4.18,1,1,Pellet,Left,0,0,21,0,35.96,43.0,
3/5/2023 22:19:49,1.17.0,Free_feed,4,4.17,2,1,Pellet,Left,0,0,22,0,Timed_out,326.0,
3/5/2023 22:19:49,1.17.0,Free_feed,4,4.18,1,1,Pellet,Left,0,0,23,0,0.18,0.0,
3/5/2023 22:20:17,1.17.0,Free_feed,4,4.18,1,1,Pellet,Left,0,0,24,0,20.56,28.0,
3/5/2023 22:20:18,1.17.0,Free_feed,4,4.17,1,1,Pellet,Left,0,0,25,0,0.12,1.0,
3/5/2023 22:20:20,1.17.0,Free_feed,4,4.17,1,1,Pellet,Left,0,0,26,0,0.73,2.0,
3/5/2023 22:25:58,1.17.0,Free_feed,4,4.18,1,1,Pellet,Left,0,0,27,0,Timed_out,338.0,
3/5/2023 22:26:27,1.17.0,Free_feed,4,4.18,1,1,Pellet,Left,0,0,28,0,21.92,29.0,
3/5/2023 22:26:50,1.17.0,Free_feed,4,4.17,1,1,Pellet,Left,0,0,29,0,21.31,23.0,
3/5/2023 22:31:32,1.17.0,Free_feed,4,4.17,1,1,Pellet,Left,0,0,30,0,Timed_out,282.0,
3/5/2023 22:31:53,1.17.0,Free_feed,4,4.17,1,1,Pellet,Left,0,0,31,0,19.64,21.0,
3/5/2023 22:32:16,1.17.0,Free_feed,4,4.17,1,1,Pellet,Left,0,0,32,0,16.25,23.0,
3/5/2023 22:32:39,1.17.0,Free_feed,4,4.17,1,1,Pellet,Left,0,0,33,0,16.14,23.0,
3/5/2023 22:32:39,1.17.0,Free_feed,4,4.17,1,1,Pellet,Left,0,0,34,0,0.06,0.0,
3/5/2023 22:41:53,1.17.0,Free_feed,4,4.17,1,1,Pellet,Left,0,0,35,0,Timed_out,554.0,
3/5/2023 22:42:16,1.17.0,Free_feed,4,4.17,1,1,Pellet,Left,0,0,36,0,20.84,22.0,
3/5/2023 22:42:36,1.17.0,Free_feed,4,4.17,1,1,Pellet,Left,0,0,37,0,18.16,21.0,
3/5/2023 22:44:28,1.17.0,Free_feed,4,4.17,1,1,Pellet,Left,0,0,38,0,Timed_out,112.0,
3/5/2023 22:44:51,1.17.0,Free_feed,4,4.18,2,1,Pellet,Left,0,0,39,0,16.07,23.0,
3/5/2023 22:45:08,1.17.0,Free_feed,4,4.17,1,1,Pellet,Left,0,0,40,0,10.48,17.0,
3/5/2023 22:45:25,1.17.0,Free_feed,4,4.17,1,1,Pellet,Left,0,0,41,0,10.11,17.0,
3/5/2023 22:57:12,1.17.0,Free_feed,4,4.17,1,1,Pellet,Left,0,0,42,0,Timed_out,707.0,
3/5/2023 22:57:29,1.17.0,Free_feed,4,4.17,1,1,Pellet,Left,0,0,43,0,10.42,17.0,
3/5/2023 22:57:43,1.17.0,Free_feed,4,4.18,1,1,Pellet,Left,0,0,44,0,7.53,14.0,
3/5/2023 22:57:57,1.17.0,Free_feed,4,4.17,1,1,Pellet,Left,0,0,45,0,7.84,14.0,
3/5/2023 22:58:15,1.17.0,Free_feed,4,4.17,1,1,Pellet,Left,0,0,46,0,9.99,17.0,
3/5/2023 23:13:39,1.17.0,Free_feed,4,4.17,2,1,Pellet,Left,0,0,47,0,Timed_out,925.0,
3/5/2023 23:13:59,1.17.0,Free_feed,4,4.17,1,1,Pellet,Left,0,0,48,0,13.05,20.0,
3/5/2023 23:18:07,1.17.0,Free_feed,4,4.17,1,1,Pellet,Left,0,0,49,0,Timed_out,248.0,
3/5/2023 23:18:45,1.17.0,Free_feed,4,4.17,1,1,Pellet,Left,0,0,50,0,31.21,38.0,
3/5/2023 23:19:06,1.17.0,Free_feed,4,4.17,2,1,Pellet,Left,0,0,51,0,12.38,21.0,
3/5/2023 23:19:07,1.17.0,Free_feed,4,4.16,1,1,Pellet,Left,0,0,52,0,0.24,1.0,
3/5/2023 23:19:42,1.17.0,Free_feed,4,4.17,1,1,Pellet,Left,0,0,53,0,28.20,35.0,
3/5/2023 23:20:05,1.17.0,Free_feed,4,4.17,1,1,Pellet,Left,0,0,54,0,16.69,23.0,
3/5/2023 23:36:52,1.17.0,Free_feed,4,4.17,1,1,Pellet,Left,0,0,55,0,Timed_out,1007.0,
3/5/2023 23:36:53,1.17.0,Free_feed,4,4.17,1,1,Pellet,Left,0,0,56,0,0.06,1.0,
3/5/2023 23:37:14,1.17.0,Free_feed,4,4.17,1,1,Pellet,Left,0,0,57,0,14.11,21.0,
3/5/2023 23:37:33,1.17.0,Free_feed,4,4.17,1,1,Pellet,Left,0,0,58,0,11.95,19.0,
3/5/2023 23:37:57,1.17.0,Free_feed,4,4.16,1,1,Pellet,Left,0,0,59,0,17.06,24.0,
3/5/2023 23:38:16,1.17.0,Free_feed,4,4.17,1,1,Pellet,Left,0,0,60,0,12.33,19.0,
3/5/2023 23:42:11,1.17.0,Free_feed,4,4.17,1,1,Pellet,Left,0,0,61,0,Timed_out,235.0,
3/5/2023 23:42:34,1.17.0,Free_feed,4,4.16,1,1,Pellet,Left,0,0,62,0,15.88,22.0,
3/5/2023 23:46:55,1.17.0,Free_feed,4,4.16,1,1,Pellet,Left,0,0,63,0,Timed_out,262.0,
3/5/2023 23:49:52,1.17.0,Free_feed,4,4.17,1,1,Pellet,Left,0,0,64,0,Timed_out,177.0,
3/5/2023 23:51:10,1.17.0,Free_feed,4,4.17,1,1,Pellet,Left,0,0,65,0,Timed_out,78.0,
3/5/2023 23:58:01,1.17.0,Free_feed,4,4.17,1,1,Pellet,Left,0,0,66,0,Timed_out,411.0,
