MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2022-10-28 22:46:40,1.9.0,Free_feed,10,4.17,5,1,Pellet,Left,0,0,1,0,Timed_out,,
2022-10-28 23:24:12,1.9.0,Free_feed,10,4.17,1,1,Pellet,Left,0,0,2,0,Timed_out,2252.0,
2022-10-28 23:24:13,1.9.0,Free_feed,10,4.16,1,1,Pellet,Left,0,0,3,0,0.06,1.0,
2022-10-28 23:28:47,1.9.0,Free_feed,10,4.16,1,1,Pellet,Left,0,0,4,0,Timed_out,274.0,
2022-10-28 23:28:48,1.9.0,Free_feed,10,4.16,1,1,Pellet,Left,0,0,5,0,0.26,1.0,
2022-10-28 23:44:52,1.9.0,Free_feed,10,4.16,1,1,Pellet,Left,0,0,6,0,Timed_out,964.0,
2022-10-28 23:44:53,1.9.0,Free_feed,10,4.16,1,1,Pellet,Left,0,0,7,0,0.06,1.0,
2022-10-28 23:44:54,1.9.0,Free_feed,10,4.16,1,1,Pellet,Left,0,0,8,0,0.06,1.0,
2022-10-28 23:55:19,1.9.0,Free_feed,10,4.16,1,1,Pellet,Left,0,0,9,0,Timed_out,624.0,
2022-10-29 00:03:35,1.9.0,Free_feed,10,4.16,1,1,Pellet,Left,0,0,10,0,Timed_out,497.0,
2022-10-29 00:03:57,1.9.0,Free_feed,10,4.16,1,1,Pellet,Left,0,0,11,0,20.26,22.0,
2022-10-29 00:03:58,1.9.0,Free_feed,10,4.16,1,1,Pellet,Left,0,0,12,0,0.06,1.0,
2022-10-29 00:06:14,1.9.0,Free_feed,10,4.16,2,1,Pellet,Left,0,0,13,0,Timed_out,136.0,
2022-10-29 00:09:59,1.9.0,Free_feed,10,4.16,1,1,Pellet,Left,0,0,14,0,Timed_out,225.0,
2022-10-29 00:10:35,1.9.0,Free_feed,10,4.16,1,1,Pellet,Left,0,0,15,0,28.46,36.0,
2022-10-29 00:11:01,1.9.0,Free_feed,10,4.16,1,1,Pellet,Left,0,0,16,0,25.29,26.0,
2022-10-29 00:11:05,1.9.0,Free_feed,10,4.16,1,1,Pellet,Left,0,0,17,0,0.06,4.0,
2022-10-29 00:17:03,1.9.0,Free_feed,10,4.16,1,1,Pellet,Left,0,0,18,0,Timed_out,358.0,
2022-10-29 00:17:22,1.9.0,Free_feed,10,4.16,1,1,Pellet,Left,0,0,19,0,12.13,19.0,
2022-10-29 00:25:41,1.9.0,Free_feed,10,4.16,1,1,Pellet,Left,0,0,20,0,Timed_out,499.0,
2022-10-29 00:25:55,1.9.0,Free_feed,10,4.16,1,1,Pellet,Left,0,0,21,0,6.26,13.0,
2022-10-29 00:26:15,1.9.0,Free_feed,10,4.16,1,1,Pellet,Left,0,0,22,0,13.66,21.0,
2022-10-29 00:26:16,1.9.0,Free_feed,10,4.16,1,1,Pellet,Left,0,0,23,0,0.06,1.0,
2022-10-29 00:26:31,1.9.0,Free_feed,10,4.16,1,1,Pellet,Left,0,0,24,0,8.24,14.0,
2022-10-29 00:48:38,1.9.0,Free_feed,10,4.15,1,1,Pellet,Left,0,0,25,0,Timed_out,1328.0,
2022-10-29 00:48:59,1.9.0,Free_feed,10,4.16,1,1,Pellet,Left,0,0,26,0,14.39,21.0,
2022-10-29 00:49:34,1.9.0,Free_feed,10,4.16,1,1,Pellet,Left,0,0,27,0,28.42,35.0,
2022-10-29 00:49:54,1.9.0,Free_feed,10,4.16,1,1,Pellet,Left,0,0,28,0,13.33,20.0,
2022-10-29 00:53:39,1.9.0,Free_feed,10,4.16,1,1,Pellet,Left,0,0,29,0,Timed_out,225.0,
2022-10-29 00:53:55,1.9.0,Free_feed,10,4.16,1,1,Pellet,Left,0,0,30,0,8.64,16.0,
2022-10-29 00:54:13,1.9.0,Free_feed,10,4.16,1,1,Pellet,Left,0,0,31,0,11.28,18.0,
2022-10-29 01:01:51,1.9.0,Free_feed,10,4.16,2,1,Pellet,Left,0,0,32,0,Timed_out,458.0,
2022-10-29 01:02:03,1.9.0,Free_feed,10,4.16,1,1,Pellet,Left,0,0,33,0,5.40,12.0,
2022-10-29 01:02:16,1.9.0,Free_feed,10,4.16,1,1,Pellet,Left,0,0,34,0,6.79,13.0,
2022-10-29 01:02:34,1.9.0,Free_feed,10,4.16,1,1,Pellet,Left,0,0,35,0,10.55,18.0,
2022-10-29 01:02:50,1.9.0,Free_feed,10,4.16,1,1,Pellet,Left,0,0,36,0,9.30,16.0,
2022-10-29 01:05:41,1.9.0,Free_feed,10,4.16,1,1,Pellet,Left,0,0,37,0,Timed_out,171.0,
2022-10-29 01:07:32,1.9.0,Free_feed,10,4.16,6,1,Pellet,Left,0,0,38,0,Timed_out,111.0,
2022-10-29 01:13:50,1.9.0,Free_feed,10,4.16,2,1,Pellet,Left,0,0,39,0,Timed_out,378.0,
2022-10-29 01:16:29,1.9.0,Free_feed,10,4.16,2,1,Pellet,Left,0,0,40,0,Timed_out,159.0,
2022-10-29 01:16:41,1.9.0,Free_feed,10,4.16,1,1,Pellet,Left,0,0,41,0,5.46,12.0,
2022-10-29 01:16:55,1.9.0,Free_feed,10,4.16,1,1,Pellet,Left,0,0,42,0,7.44,14.0,
2022-10-29 01:17:15,1.9.0,Free_feed,10,4.16,1,1,Pellet,Left,0,0,43,0,13.39,20.0,
2022-10-29 01:17:27,1.9.0,Free_feed,10,4.15,1,1,Pellet,Left,0,0,44,0,5.07,12.0,
2022-10-29 01:17:47,1.9.0,Free_feed,10,4.15,1,1,Pellet,Left,0,0,45,0,18.67,20.0,
2022-10-29 01:18:03,1.9.0,Free_feed,10,4.16,1,1,Pellet,Left,0,0,46,0,9.62,16.0,
2022-10-29 01:21:22,1.9.0,Free_feed,10,4.16,1,1,Pellet,Left,0,0,47,0,Timed_out,199.0,
2022-10-29 01:45:59,1.9.0,Free_feed,10,4.15,2,1,Pellet,Left,0,0,48,0,Timed_out,1477.0,
2022-10-29 01:48:12,1.9.0,Free_feed,10,4.15,1,1,Pellet,Left,0,0,49,0,Timed_out,133.0,
2022-10-29 01:48:14,1.9.0,Free_feed,10,4.16,1,1,Pellet,Left,0,0,50,0,0.06,2.0,
2022-10-29 01:52:25,1.9.0,Free_feed,10,4.15,1,1,Pellet,Left,0,0,51,0,Timed_out,251.0,
2022-10-29 01:52:39,1.9.0,Free_feed,10,4.15,1,1,Pellet,Left,0,0,52,0,7.05,14.0,
2022-10-29 01:52:40,1.9.0,Free_feed,10,4.14,1,1,Pellet,Left,0,0,53,0,0.13,1.0,
2022-10-29 01:52:55,1.9.0,Free_feed,10,4.16,1,1,Pellet,Left,0,0,54,0,8.24,15.0,
2022-10-29 01:53:11,1.9.0,Free_feed,10,4.15,1,1,Pellet,Left,0,0,55,0,9.83,16.0,
2022-10-29 01:53:27,1.9.0,Free_feed,10,4.15,2,1,Pellet,Left,0,0,56,0,8.97,16.0,
2022-10-29 01:56:06,1.9.0,Free_feed,10,4.14,1,1,Pellet,Left,0,0,57,0,Timed_out,159.0,
