MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2023-03-29 23:48:14,1.16.3,Free_feed,25,4.2,,1,RightWithPellet,Left,0,1,0,0,,,0.02
2023-03-29 23:51:14,1.16.3,Free_feed,25,4.2,,1,LeftWithPellet,Left,1,1,0,0,,,0.03
2023-03-29 23:56:03,1.16.3,Free_feed,25,4.2,,1,LeftWithPellet,Left,2,1,0,0,,,0.04
2023-03-29 23:56:03,1.16.3,Free_feed,25,4.2,,1,LeftWithPellet,Left,3,1,0,0,,,0.04
2023-03-29 23:56:05,1.16.3,Free_feed,25,4.2,,1,LeftWithPellet,Left,4,1,0,0,,,0.06
2023-03-29 23:56:06,1.16.3,Free_feed,25,4.2,,1,LeftWithPellet,Left,5,1,0,0,,,0.15
2023-03-29 23:56:07,1.16.3,Free_feed,25,4.2,,1,LeftWithPellet,Left,6,1,0,0,,,0.22
2023-03-30 00:22:06,1.16.3,Free_feed,25,4.19,,1,RightWithPellet,Left,6,2,0,0,,,0.02
2023-03-30 00:24:50,1.16.3,Free_feed,25,4.2,3.0,1,Pellet,Left,6,2,1,0,Timed_out,,
2023-03-30 00:24:51,1.16.3,Free_feed,25,4.19,1.0,1,Pellet,Left,6,2,2,0,0.19,2.0,
2023-03-30 00:27:08,1.16.3,Free_feed,25,4.19,,1,LeftWithPellet,Left,7,2,2,0,,,0.05
2023-03-30 00:27:09,1.16.3,Free_feed,25,4.19,,1,LeftWithPellet,Left,8,2,2,0,,,0.1
2023-03-30 00:27:11,1.16.3,Free_feed,25,4.2,,1,LeftWithPellet,Left,9,2,2,0,,,0.29
2023-03-30 00:27:12,1.16.3,Free_feed,25,4.19,,1,LeftWithPellet,Left,10,2,2,0,,,0.31
2023-03-30 00:27:13,1.16.3,Free_feed,25,4.19,,1,LeftWithPellet,Left,11,2,2,0,,,1.1
