MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
3/29/2023 11:04:17,1.14.0,Free_feed,18,4.06,481,1,Pellet,Left,0,0,1,0,Timed_out,nan,nan
3/29/2023 11:06:46,1.14.0,Free_feed,18,4.07,3,1,Pellet,Left,0,0,2,0,Timed_out,149,nan
3/29/2023 11:06:49,1.14.0,Free_feed,18,4.07,1,1,Pellet,Left,0,0,3,0,1.22,3,nan
3/29/2023 11:08:03,1.14.0,Free_feed,18,4.06,2,1,Pellet,Left,0,0,4,0,Timed_out,74,nan
3/29/2023 11:08:05,1.14.0,Free_feed,18,4.06,1,1,Pellet,Left,0,0,5,0,0.36,2,nan
3/29/2023 11:08:44,1.14.0,Free_feed,18,4.06,nan,1,RightWithPellet,Left,0,1,5,0,nan,nan,0.31
3/29/2023 11:11:49,1.14.0,Free_feed,18,4.07,nan,1,RightWithPellet,Left,0,2,5,0,nan,nan,0.06
3/29/2023 11:11:53,1.14.0,Free_feed,18,4.06,nan,1,RightWithPellet,Left,0,3,5,0,nan,nan,0.07
3/29/2023 11:11:56,1.14.0,Free_feed,18,4.07,1,1,Pellet,Left,0,3,6,0,Timed_out,231,nan
3/29/2023 11:14:05,1.14.0,Free_feed,18,4.07,1,1,Pellet,Left,0,3,7,0,Timed_out,129,nan
3/29/2023 11:14:49,1.14.0,Free_feed,18,4.07,1,1,Pellet,Left,0,3,8,0,37.22,44,nan
3/29/2023 11:15:24,1.14.0,Free_feed,18,4.07,1,1,Pellet,Left,0,3,9,0,28.55,35,nan
3/29/2023 11:17:05,1.14.0,Free_feed,18,4.07,1,1,Pellet,Left,0,3,10,0,Timed_out,101,nan
3/29/2023 11:17:06,1.14.0,Free_feed,18,4.07,1,1,Pellet,Left,0,3,11,0,0.18,1,nan
3/29/2023 11:17:21,1.14.0,Free_feed,18,4.06,nan,1,LeftWithPellet,Left,1,3,11,0,nan,nan,0.09
3/29/2023 11:17:24,1.14.0,Free_feed,18,4.06,nan,1,LeftWithPellet,Left,2,3,11,0,nan,nan,0.05
3/29/2023 11:17:27,1.14.0,Free_feed,18,4.06,nan,1,RightWithPellet,Left,2,4,11,0,nan,nan,0.53
3/29/2023 11:19:14,1.14.0,Free_feed,18,4.06,1,1,Pellet,Left,2,4,12,0,Timed_out,128,nan
3/29/2023 11:19:16,1.14.0,Free_feed,18,4.07,1,1,Pellet,Left,2,4,13,0,0.06,2,nan
3/29/2023 11:21:25,1.14.0,Free_feed,18,4.07,1,1,Pellet,Left,2,4,14,0,Timed_out,129,nan
3/29/2023 11:23:28,1.14.0,Free_feed,18,4.06,1,1,Pellet,Left,2,4,15,0,Timed_out,123,nan
3/29/2023 11:24:51,1.14.0,Free_feed,18,4.06,1,1,Pellet,Left,2,4,16,0,Timed_out,83,nan
3/29/2023 11:25:19,1.14.0,Free_feed,18,4.06,nan,1,RightWithPellet,Left,2,5,16,0,nan,nan,0.11
3/29/2023 11:26:14,1.14.0,Free_feed,18,4.06,nan,1,LeftWithPellet,Left,3,5,16,0,nan,nan,0.04
3/29/2023 11:26:54,1.14.0,Free_feed,18,4.07,1,1,Pellet,Left,3,5,17,0,Timed_out,123,nan
3/29/2023 11:27:04,1.14.0,Free_feed,18,4.07,nan,1,RightWithPellet,Left,3,6,17,0,nan,nan,0.17
3/29/2023 11:27:12,1.14.0,Free_feed,18,4.06,nan,1,RightWithPellet,Left,3,7,17,0,nan,nan,0.06
3/29/2023 11:27:55,1.14.0,Free_feed,18,4.07,nan,1,LeftWithPellet,Left,4,7,17,0,nan,nan,0.15
3/29/2023 11:30:49,1.14.0,Free_feed,18,4.05,1,1,Pellet,Left,4,7,18,0,Timed_out,234,nan
3/29/2023 11:33:15,1.14.0,Free_feed,18,4.06,nan,1,RightWithPellet,Left,4,8,18,0,nan,nan,0.08
3/29/2023 11:38:36,1.14.0,Free_feed,18,4.07,1,1,Pellet,Left,4,8,19,0,Timed_out,468,nan
3/29/2023 11:38:59,1.14.0,Free_feed,18,4.05,nan,1,LeftWithPellet,Left,5,8,19,0,nan,nan,0.01
3/29/2023 11:39:03,1.14.0,Free_feed,18,4.07,nan,1,LeftWithPellet,Left,6,8,19,0,nan,nan,2.99
3/29/2023 11:39:03,1.14.0,Free_feed,18,4.07,nan,1,LeftWithPellet,Left,7,8,19,0,nan,nan,0.04
3/29/2023 11:39:04,1.14.0,Free_feed,18,4.06,nan,1,LeftWithPellet,Left,8,8,19,0,nan,nan,0.30
3/29/2023 11:39:05,1.14.0,Free_feed,18,4.06,nan,1,LeftWithPellet,Left,9,8,19,0,nan,nan,0.23
3/29/2023 11:39:07,1.14.0,Free_feed,18,4.06,nan,1,LeftWithPellet,Left,10,8,19,0,nan,nan,0.88
3/29/2023 11:39:07,1.14.0,Free_feed,18,4.07,nan,1,LeftWithPellet,Left,11,8,19,0,nan,nan,0.16
3/29/2023 11:39:11,1.14.0,Free_feed,18,4.06,nan,1,LeftWithPellet,Left,12,8,19,0,nan,nan,0.12
3/29/2023 11:39:12,1.14.0,Free_feed,18,4.07,nan,1,LeftWithPellet,Left,13,8,19,0,nan,nan,0.08
3/29/2023 11:39:14,1.14.0,Free_feed,18,4.06,nan,1,LeftWithPellet,Left,14,8,19,0,nan,nan,0.73
3/29/2023 11:39:14,1.14.0,Free_feed,18,4.07,nan,1,LeftWithPellet,Left,15,8,19,0,nan,nan,0.02
3/29/2023 11:39:21,1.14.0,Free_feed,18,4.07,nan,1,LeftWithPellet,Left,16,8,19,0,nan,nan,0.17
3/29/2023 11:39:53,1.14.0,Free_feed,18,4.07,1,1,Pellet,Left,16,8,20,0,Timed_out,77,nan
3/29/2023 11:41:57,1.14.0,Free_feed,18,4.06,nan,1,LeftWithPellet,Left,17,8,20,0,nan,nan,0.10
3/29/2023 11:43:16,1.14.0,Free_feed,18,4.06,nan,1,LeftWithPellet,Left,18,8,20,0,nan,nan,0.02
3/29/2023 11:43:19,1.14.0,Free_feed,18,4.06,nan,1,LeftWithPellet,Left,19,8,20,0,nan,nan,0.08
3/29/2023 11:43:25,1.14.0,Free_feed,18,4.06,nan,1,LeftWithPellet,Left,20,8,20,0,nan,nan,0.28
3/29/2023 11:43:26,1.14.0,Free_feed,18,4.06,nan,1,LeftWithPellet,Left,21,8,20,0,nan,nan,0.22
3/29/2023 11:43:51,1.14.0,Free_feed,18,4.06,nan,1,LeftWithPellet,Left,22,8,20,0,nan,nan,1.92
3/29/2023 11:43:53,1.14.0,Free_feed,18,4.06,nan,1,LeftWithPellet,Left,23,8,20,0,nan,nan,0.06
3/29/2023 11:43:56,1.14.0,Free_feed,18,4.05,nan,1,LeftWithPellet,Left,24,8,20,0,nan,nan,1.85
3/29/2023 11:43:59,1.14.0,Free_feed,18,4.07,nan,1,LeftWithPellet,Left,25,8,20,0,nan,nan,0.46
3/29/2023 11:44:53,1.14.0,Free_feed,18,4.06,1,1,Pellet,Left,25,8,21,0,Timed_out,300,nan
3/29/2023 11:45:47,1.14.0,Free_feed,18,4.06,nan,1,RightWithPellet,Left,25,9,21,0,nan,nan,0.01
3/29/2023 11:45:47,1.14.0,Free_feed,18,4.05,nan,1,RightWithPellet,Left,25,10,21,0,nan,nan,0.03
3/29/2023 11:47:36,1.14.0,Free_feed,18,4.06,nan,1,RightWithPellet,Left,25,11,21,0,nan,nan,0.01
3/29/2023 11:48:54,1.14.0,Free_feed,18,4.07,2,1,Pellet,Left,25,11,22,0,Timed_out,241,nan
3/29/2023 11:49:24,1.14.0,Free_feed,18,4.07,nan,1,LeftWithPellet,Left,26,11,22,0,nan,nan,0.17
3/29/2023 11:49:29,1.14.0,Free_feed,18,4.06,nan,1,RightWithPellet,Left,26,12,22,0,nan,nan,0.02
3/29/2023 11:49:30,1.14.0,Free_feed,18,4.06,nan,1,RightWithPellet,Left,26,13,22,0,nan,nan,0.14
3/29/2023 11:49:30,1.14.0,Free_feed,18,4.06,nan,1,RightWithPellet,Left,26,14,22,0,nan,nan,0.10
3/29/2023 11:49:32,1.14.0,Free_feed,18,4.06,nan,1,RightWithPellet,Left,26,15,22,0,nan,nan,0.84
3/29/2023 11:49:32,1.14.0,Free_feed,18,4.06,nan,1,RightWithPellet,Left,26,16,22,0,nan,nan,0.19
3/29/2023 11:49:33,1.14.0,Free_feed,18,4.06,nan,1,RightWithPellet,Left,26,17,22,0,nan,nan,0.75
3/29/2023 11:53:40,1.14.0,Free_feed,18,4.06,nan,1,LeftWithPellet,Left,27,17,22,0,nan,nan,0.72
3/29/2023 11:53:42,1.14.0,Free_feed,18,4.07,nan,1,LeftWithPellet,Left,28,17,22,0,nan,nan,0.03
3/29/2023 11:54:35,1.14.0,Free_feed,18,4.06,nan,1,LeftWithPellet,Left,29,17,22,0,nan,nan,0.26
3/29/2023 11:57:43,1.14.0,Free_feed,18,4.06,nan,1,LeftWithPellet,Left,30,17,22,0,nan,nan,0.05
3/29/2023 11:57:47,1.14.0,Free_feed,18,4.05,nan,1,LeftWithPellet,Left,31,17,22,0,nan,nan,1.01
3/29/2023 11:57:52,1.14.0,Free_feed,18,4.06,nan,1,LeftWithPellet,Left,32,17,22,0,nan,nan,0.07
3/29/2023 12:01:03,1.14.0,Free_feed,18,4.05,nan,1,RightWithPellet,Left,32,18,22,0,nan,nan,0.02
3/29/2023 12:01:07,1.14.0,Free_feed,18,4.06,1,1,Pellet,Left,32,18,23,0,Timed_out,732,nan
3/29/2023 12:01:27,1.14.0,Free_feed,18,4.05,nan,1,RightWithPellet,Left,32,19,23,0,nan,nan,0.09
3/29/2023 12:02:26,1.14.0,Free_feed,18,4.05,nan,1,LeftWithPellet,Left,33,19,23,0,nan,nan,0.03
3/29/2023 12:09:04,1.14.0,Free_feed,18,4.06,1,1,Pellet,Left,33,19,24,0,Timed_out,478,nan
3/29/2023 12:26:27,1.14.0,Free_feed,18,4.06,2,1,Pellet,Left,33,19,25,0,Timed_out,1043,nan
3/29/2023 12:27:35,1.14.0,Free_feed,18,4.06,1,1,Pellet,Left,33,19,26,0,Timed_out,68,nan
3/29/2023 12:28:58,1.14.0,Free_feed,18,4.06,1,1,Pellet,Left,33,19,27,0,Timed_out,83,nan
3/29/2023 12:29:51,1.14.0,Free_feed,18,4.06,1,1,Pellet,Left,33,19,28,0,45.89,53,nan
3/29/2023 12:30:01,1.14.0,Free_feed,18,4.06,nan,1,RightWithPellet,Left,33,20,28,0,nan,nan,0.09
3/29/2023 12:31:06,1.14.0,Free_feed,18,4.06,1,1,Pellet,Left,33,20,29,0,Timed_out,75,nan
3/29/2023 12:31:18,1.14.0,Free_feed,18,4.05,nan,1,RightWithPellet,Left,33,21,29,0,nan,nan,0.40
3/29/2023 12:31:20,1.14.0,Free_feed,18,4.06,nan,1,RightWithPellet,Left,33,22,29,0,nan,nan,1.18
3/29/2023 12:31:20,1.14.0,Free_feed,18,4.06,nan,1,RightWithPellet,Left,33,23,29,0,nan,nan,0.19
3/29/2023 12:31:21,1.14.0,Free_feed,18,4.06,nan,1,RightWithPellet,Left,33,24,29,0,nan,nan,0.04
3/29/2023 13:07:56,1.14.0,Free_feed,18,4.05,2,1,Pellet,Left,33,24,30,0,Timed_out,2210,nan
3/29/2023 13:11:26,1.14.0,Free_feed,18,4.06,1,1,Pellet,Left,33,24,31,0,Timed_out,210,nan
3/29/2023 13:12:25,1.14.0,Free_feed,18,4.05,nan,1,LeftWithPellet,Left,34,24,31,0,nan,nan,0.23
3/29/2023 13:14:47,1.14.0,Free_feed,18,4.07,1,1,Pellet,Left,34,24,32,0,Timed_out,201,nan
3/29/2023 13:15:21,1.14.0,Free_feed,18,4.06,1,1,Pellet,Left,34,24,33,0,26.48,34,nan
3/29/2023 13:16:25,1.14.0,Free_feed,18,4.06,nan,1,RightWithPellet,Left,34,25,33,0,nan,nan,0.20
3/29/2023 13:16:27,1.14.0,Free_feed,18,4.06,1,1,Pellet,Left,34,25,34,0,58.95,66,nan
3/29/2023 13:16:48,1.14.0,Free_feed,18,4.05,2,1,Pellet,Left,34,25,35,0,13.74,21,nan
3/29/2023 13:17:06,1.14.0,Free_feed,18,4.06,1,1,Pellet,Left,34,25,36,0,10.60,18,nan
3/29/2023 13:53:46,1.14.0,Free_feed,18,4.05,1,1,Pellet,Left,34,25,37,0,Timed_out,2200,nan
3/29/2023 13:58:00,1.14.0,Free_feed,18,4.06,1,1,Pellet,Left,34,25,38,0,Timed_out,254,nan
3/29/2023 14:01:17,1.14.0,Free_feed,18,4.06,1,1,Pellet,Left,34,25,39,0,Timed_out,197,nan
3/29/2023 14:02:25,1.14.0,Free_feed,18,4.05,1,1,Pellet,Left,34,25,40,0,Timed_out,68,nan
3/29/2023 14:02:45,1.14.0,Free_feed,18,4.05,1,1,Pellet,Left,34,25,41,0,12.44,20,nan
3/29/2023 14:03:04,1.14.0,Free_feed,18,4.06,2,1,Pellet,Left,34,25,42,0,11.40,19,nan
3/29/2023 14:03:26,1.14.0,Free_feed,18,4.05,1,1,Pellet,Left,34,25,43,0,14.53,22,nan
3/29/2023 14:03:42,1.14.0,Free_feed,18,4.05,1,1,Pellet,Left,34,25,44,0,8.70,16,nan
3/29/2023 14:04:03,1.14.0,Free_feed,18,4.06,1,1,Pellet,Left,34,25,45,0,13.98,21,nan
3/29/2023 14:04:30,1.14.0,Free_feed,18,4.05,1,1,Pellet,Left,34,25,46,0,19.76,27,nan
3/29/2023 14:36:32,1.14.0,Free_feed,18,4.05,1,1,Pellet,Left,34,25,47,0,Timed_out,1922,nan
3/29/2023 14:36:45,1.14.0,Free_feed,18,4.05,1,1,Pellet,Left,34,25,48,0,5.20,13,nan
3/29/2023 14:37:05,1.14.0,Free_feed,18,4.05,1,1,Pellet,Left,34,25,49,0,13.80,20,nan
3/29/2023 14:38:13,1.14.0,Free_feed,18,4.05,1,1,Pellet,Left,34,25,50,0,59.94,67,nan
3/29/2023 14:43:14,1.14.0,Free_feed,18,4.06,1,1,Pellet,Left,34,25,51,0,Timed_out,302,nan
3/29/2023 14:44:10,1.14.0,Free_feed,18,4.05,1,1,Pellet,Left,34,25,52,0,49.13,56,nan
3/29/2023 14:44:16,1.14.0,Free_feed,18,4.05,nan,1,RightWithPellet,Left,34,26,52,0,nan,nan,0.16
3/29/2023 14:44:43,1.14.0,Free_feed,18,4.05,nan,1,LeftWithPellet,Left,35,26,52,0,nan,nan,0.17
3/29/2023 14:45:43,1.14.0,Free_feed,18,4.06,1,1,Pellet,Left,35,26,53,0,Timed_out,93,nan
3/29/2023 14:46:08,1.14.0,Free_feed,18,4.05,1,1,Pellet,Left,35,26,54,0,17.18,25,nan
3/29/2023 14:46:24,1.14.0,Free_feed,18,4.05,1,1,Pellet,Left,35,26,55,0,9.31,16,nan
3/29/2023 14:46:27,1.14.0,Free_feed,18,4.05,1,1,Pellet,Left,35,26,56,0,0.42,3,nan
3/29/2023 14:46:29,1.14.0,Free_feed,18,4.05,1,1,Pellet,Left,35,26,57,0,0.30,2,nan
3/29/2023 16:19:20,1.14.0,Free_feed,18,4.05,1,1,Pellet,Left,35,26,58,0,Timed_out,5571,nan
3/29/2023 16:19:39,1.14.0,Free_feed,18,4.05,1,1,Pellet,Left,35,26,59,0,10.67,18,nan
3/29/2023 16:20:01,1.14.0,Free_feed,18,4.05,2,1,Pellet,Left,35,26,60,0,14.73,23,nan
3/29/2023 16:20:03,1.14.0,Free_feed,18,4.05,1,1,Pellet,Left,35,26,61,0,0.30,1,nan
3/29/2023 16:20:21,1.14.0,Free_feed,18,4.05,1,1,Pellet,Left,35,26,62,0,10.85,19,nan
3/29/2023 16:20:34,1.14.0,Free_feed,18,4.05,1,1,Pellet,Left,35,26,63,0,6.55,13,nan
3/29/2023 16:21:25,1.14.0,Free_feed,18,4.05,1,1,Pellet,Left,35,26,64,0,43.30,51,nan
3/29/2023 16:21:47,1.14.0,Free_feed,18,4.05,2,1,Pellet,Left,35,26,65,0,11.96,22,nan
3/29/2023 16:22:11,1.14.0,Free_feed,18,4.05,1,1,Pellet,Left,35,26,66,0,17.25,24,nan
3/29/2023 16:22:31,1.14.0,Free_feed,18,4.05,1,1,Pellet,Left,35,26,67,0,13.56,20,nan
3/29/2023 16:22:52,1.14.0,Free_feed,18,4.05,1,1,Pellet,Left,35,26,68,0,13.37,21,nan
3/29/2023 16:23:13,1.14.0,Free_feed,18,4.05,1,1,Pellet,Left,35,26,69,0,12.64,21,nan
3/29/2023 16:23:33,1.14.0,Free_feed,18,4.05,1,1,Pellet,Left,35,26,70,0,13.37,20,nan
3/29/2023 16:23:51,1.14.0,Free_feed,18,4.05,1,1,Pellet,Left,35,26,71,0,10.18,18,nan
3/29/2023 16:24:20,1.14.0,Free_feed,18,4.05,1,1,Pellet,Left,35,26,72,0,21.55,28,nan
3/29/2023 16:25:48,1.14.0,Free_feed,18,4.05,1,1,Pellet,Left,35,26,73,0,Timed_out,89,nan
3/29/2023 16:47:34,1.14.0,Free_feed,18,4.05,1,1,Pellet,Left,35,26,74,0,Timed_out,1306,nan
3/29/2023 17:20:57,1.14.0,Free_feed,18,4.05,2,1,Pellet,Left,35,26,75,0,Timed_out,2003,nan
3/29/2023 17:34:18,1.14.0,Free_feed,18,4.05,1,1,Pellet,Left,35,26,76,0,Timed_out,801,nan
3/29/2023 17:41:45,1.14.0,Free_feed,18,4.05,1,1,Pellet,Left,35,26,77,0,Timed_out,446,nan
3/29/2023 17:45:42,1.14.0,Free_feed,18,4.05,1,1,Pellet,Left,35,26,78,0,Timed_out,238,nan
3/29/2023 17:45:58,1.14.0,Free_feed,18,4.05,1,1,Pellet,Left,35,26,79,0,9.01,16,nan
3/29/2023 17:46:15,1.14.0,Free_feed,18,4.05,1,1,Pellet,Left,35,26,80,0,15.03,17,nan
3/29/2023 17:46:37,1.14.0,Free_feed,18,4.05,1,1,Pellet,Left,35,26,81,0,14.72,22,nan
3/29/2023 17:46:53,1.14.0,Free_feed,18,4.05,1,1,Pellet,Left,35,26,82,0,9.25,16,nan
3/29/2023 17:47:16,1.14.0,Free_feed,18,4.05,1,1,Pellet,Left,35,26,83,0,16.26,23,nan
3/29/2023 18:55:44,1.14.0,Free_feed,18,4.05,1,1,Pellet,Left,35,26,84,0,Timed_out,4108,nan
3/29/2023 18:56:24,1.14.0,Free_feed,18,4.05,1,1,Pellet,Left,35,26,85,0,32.23,40,nan
3/29/2023 18:56:43,1.14.0,Free_feed,18,4.05,1,1,Pellet,Left,35,26,86,0,12.70,19,nan
3/29/2023 18:56:59,1.14.0,Free_feed,18,4.05,2,1,Pellet,Left,35,26,87,0,6.74,16,nan
3/29/2023 18:57:22,1.14.0,Free_feed,18,4.05,1,1,Pellet,Left,35,26,88,0,15.47,23,nan
3/29/2023 18:57:43,1.14.0,Free_feed,18,4.04,1,1,Pellet,Left,35,26,89,0,13.56,21,nan
3/29/2023 18:58:01,1.14.0,Free_feed,18,4.05,1,1,Pellet,Left,35,26,90,0,10.12,17,nan
3/29/2023 18:58:03,1.14.0,Free_feed,18,4.05,1,1,Pellet,Left,35,26,91,0,0.18,3,nan
3/29/2023 19:08:22,1.14.0,Free_feed,18,4.05,1,1,Pellet,Left,35,26,92,0,Timed_out,619,nan
3/29/2023 19:09:02,1.14.0,Free_feed,18,4.04,1,1,Pellet,Left,35,26,93,0,32.72,40,nan
3/29/2023 19:09:22,1.14.0,Free_feed,18,4.04,1,1,Pellet,Left,35,26,94,0,12.20,19,nan
3/29/2023 19:09:41,1.14.0,Free_feed,18,4.05,2,1,Pellet,Left,35,26,95,0,12.33,20,nan
3/29/2023 19:09:57,1.14.0,Free_feed,18,4.05,2,1,Pellet,Left,35,26,96,0,6.62,16,nan
3/29/2023 19:10:22,1.14.0,Free_feed,18,4.04,1,1,Pellet,Left,35,26,97,0,17.12,24,nan
3/29/2023 19:10:40,1.14.0,Free_feed,18,4.04,1,1,Pellet,Left,35,26,98,0,11.10,18,nan
3/29/2023 19:10:58,1.14.0,Free_feed,18,4.05,2,1,Pellet,Left,35,26,99,0,9.38,19,nan
3/29/2023 19:27:31,1.14.0,Free_feed,18,4.04,1,1,Pellet,Left,35,26,100,0,Timed_out,993,nan
3/29/2023 19:29:02,1.14.0,Free_feed,18,4.05,1,1,Pellet,Left,35,26,101,0,Timed_out,91,nan
3/29/2023 19:30:29,1.14.0,Free_feed,18,4.04,1,1,Pellet,Left,35,26,102,0,Timed_out,87,nan
3/29/2023 19:31:44,1.14.0,Free_feed,18,4.04,1,1,Pellet,Left,35,26,103,0,Timed_out,75,nan
