MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
7/8/2022 15:35:53,1.12.0,Free_feed,3,4.08,2,1,Pellet,Left,0,0,1,0,Timed_out,nan,nan
7/8/2022 16:30:48,1.12.0,Free_feed,3,4.09,nan,1,LeftWithPellet,Left,1,0,1,0,nan,nan,0.10
7/8/2022 16:30:57,1.12.0,Free_feed,3,4.09,nan,1,RightWithPellet,Left,1,1,1,0,nan,nan,0.70
7/8/2022 16:30:58,1.12.0,Free_feed,3,4.09,nan,1,RightWithPellet,Left,1,2,1,0,nan,nan,0.01
7/8/2022 16:33:40,1.12.0,Free_feed,3,4.09,nan,1,LeftWithPellet,Left,2,2,1,0,nan,nan,0.19
7/8/2022 16:37:54,1.12.0,Free_feed,3,4.09,nan,1,LeftWithPellet,Left,3,2,1,0,nan,nan,0.88
7/8/2022 16:44:27,1.12.0,Free_feed,3,4.09,nan,1,RightWithPellet,Left,3,3,1,0,nan,nan,0.16
7/8/2022 16:47:36,1.12.0,Free_feed,3,4.09,nan,1,LeftWithPellet,Left,4,3,1,0,nan,nan,0.35
7/8/2022 16:49:39,1.12.0,Free_feed,3,4.09,nan,1,LeftWithPellet,Left,5,3,1,0,nan,nan,0.25
7/8/2022 16:54:47,1.12.0,Free_feed,3,4.08,nan,1,LeftWithPellet,Left,6,3,1,0,nan,nan,0.18
7/8/2022 16:55:44,1.12.0,Free_feed,3,4.09,nan,1,RightWithPellet,Left,6,4,1,0,nan,nan,0.28
7/8/2022 16:57:03,1.12.0,Free_feed,3,4.08,nan,1,LeftWithPellet,Left,7,4,1,0,nan,nan,1.53
7/8/2022 16:59:47,1.12.0,Free_feed,3,4.08,nan,1,LeftWithPellet,Left,8,4,1,0,nan,nan,0.02
7/8/2022 17:00:18,1.12.0,Free_feed,3,4.09,nan,1,LeftWithPellet,Left,9,4,1,0,nan,nan,0.13
7/8/2022 17:21:03,1.12.0,Free_feed,3,4.08,nan,1,LeftWithPellet,Left,10,4,1,0,nan,nan,0.32
7/8/2022 17:30:29,1.12.0,Free_feed,3,4.08,nan,1,LeftWithPellet,Left,11,4,1,0,nan,nan,0.35
