MM:DD:YYYY hh:mm:ss,Device_Number,Battery_Voltage,Motor_Turns,Session_Type,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Retrieval_Time,Concat_#,Mode
2020-07-21 20:27:25,0,4.07,1,Free_feed,Pellet,Left,0,0,1,0.0,0,FED
2020-07-21 20:28:07,0,4.07,1,Free_feed,Pellet,Left,0,0,2,40.0,0,FED
2020-07-21 20:29:52,0,4.08,1,Free_feed,Pellet,Left,0,0,3,102.0,0,FED
2020-07-21 20:30:13,0,4.07,1,Free_feed,Pellet,Left,0,0,4,11.0,0,FED
2020-07-21 20:34:43,0,4.07,1,Free_feed,Pellet,Left,0,0,5,0.0,0,FED
2020-07-21 20:36:58,0,4.07,1,Free_feed,Pellet,Left,0,0,6,0.0,0,FED
2020-07-21 20:37:49,0,4.07,1,Free_feed,Pellet,Left,0,0,7,48.0,0,FED
2020-07-21 20:38:15,0,4.08,1,Free_feed,Pellet,Left,0,0,8,23.0,0,FED
2020-07-21 20:39:13,0,4.07,1,Free_feed,Pellet,Left,0,0,9,56.0,0,FED
2020-07-21 20:39:19,0,4.08,1,Free_feed,Pellet,Left,0,0,10,3.0,0,FED
2020-07-21 20:43:13,0,4.07,1,Free_feed,Pellet,Left,0,0,11,0.0,0,FED
2020-07-21 20:48:07,0,4.07,1,Free_feed,Pellet,Left,0,0,12,0.0,0,FED
2020-07-21 20:48:13,0,4.07,1,Free_feed,Pellet,Left,0,0,13,3.0,0,FED
2020-07-21 20:48:40,0,4.07,1,Free_feed,Pellet,Left,0,0,14,25.0,0,FED
2020-07-21 20:51:05,0,4.07,1,Free_feed,Pellet,Left,0,0,15,3.0,0,FED
2020-07-21 20:52:56,0,4.07,1,Free_feed,Pellet,Left,0,0,16,109.0,0,FED
2020-07-21 20:57:04,0,4.07,2,Free_feed,Pellet,Left,0,0,17,0.0,0,FED
2020-07-21 20:57:41,0,4.07,1,Free_feed,Pellet,Left,0,0,18,4.0,0,FED
2020-07-21 20:57:49,0,4.07,1,Free_feed,Pellet,Left,0,0,19,5.0,0,FED
2020-07-21 20:57:53,0,4.07,1,Free_feed,Pellet,Left,0,0,20,1.0,0,FED
2020-07-21 20:59:04,0,4.07,1,Free_feed,Pellet,Left,0,0,21,68.0,0,FED
2020-07-21 20:59:42,0,4.07,1,Free_feed,Pellet,Left,0,0,22,35.0,0,FED
2020-07-21 21:00:16,0,4.07,1,Free_feed,Pellet,Left,0,0,23,31.0,0,FED
2020-07-21 21:02:12,0,4.07,7,Free_feed,Pellet,Left,0,0,24,100.0,0,FED
2020-07-21 21:02:20,0,4.07,1,Free_feed,Pellet,Left,0,0,25,5.0,0,FED
2020-07-21 21:03:56,0,4.08,1,Free_feed,Pellet,Left,0,0,26,92.0,0,FED
2020-07-21 21:04:12,0,4.07,1,Free_feed,Pellet,Left,0,0,27,14.0,0,FED
2020-07-21 21:06:49,0,4.07,1,Free_feed,Pellet,Left,0,0,28,0.0,0,FED
2020-07-21 21:07:22,0,4.07,1,Free_feed,Pellet,Left,0,0,29,31.0,0,FED
2020-07-21 21:07:37,0,4.08,1,Free_feed,Pellet,Left,0,0,30,12.0,0,FED
2020-07-21 21:07:50,0,4.07,1,Free_feed,Pellet,Left,0,0,31,11.0,0,FED
2020-07-21 21:08:04,0,4.07,2,Free_feed,Pellet,Left,0,0,32,11.0,0,FED
2020-07-21 21:13:04,0,4.07,2,Free_feed,Pellet,Left,0,0,33,0.0,0,FED
2020-07-21 21:13:10,0,4.07,1,Free_feed,Pellet,Left,0,0,34,3.0,0,FED
2020-07-21 21:13:19,0,4.08,1,Free_feed,Pellet,Left,0,0,35,6.0,0,FED
2020-07-21 21:13:36,0,4.07,1,Free_feed,Pellet,Left,0,0,36,14.0,0,FED
2020-07-21 21:14:41,0,4.07,2,Free_feed,Pellet,Left,0,0,37,59.0,0,FED
