MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
4/1/2022 15:46:50,1.12.0,FR1,0,4.12,,1,LeftWithPellet,Left,1,0,0,0,,,0.28
4/1/2022 15:48:58,1.12.0,FR1,0,4.12,,1,LeftWithPellet,Left,2,0,0,0,,,0.21
4/1/2022 15:58:45,1.12.0,FR1,0,4.12,,1,RightWithPellet,Left,2,1,0,0,,,0.8
4/1/2022 16:05:12,1.12.0,FR1,0,4.11,,1,LeftWithPellet,Left,3,1,0,0,,,0.19
4/1/2022 16:13:16,1.12.0,FR1,0,4.12,,1,LeftWithPellet,Left,4,1,0,0,,,0.04
4/1/2022 16:18:23,1.12.0,FR1,0,4.12,,1,RightWithPellet,Left,4,2,0,0,,,0.22
4/1/2022 16:21:23,1.12.0,FR1,0,4.11,,1,LeftWithPellet,Left,5,2,0,0,,,0.26
4/1/2022 16:22:34,1.12.0,FR1,0,4.11,,1,RightWithPellet,Left,5,3,0,0,,,0.21
4/1/2022 16:26:12,1.12.0,FR1,0,4.12,,1,LeftWithPellet,Left,6,3,0,0,,,0.16
4/1/2022 16:33:18,1.12.0,FR1,0,4.12,,1,RightWithPellet,Left,6,4,0,0,,,0.01
4/1/2022 16:45:46,1.12.0,FR1,0,4.11,,1,LeftWithPellet,Left,7,4,0,0,,,0.58
4/1/2022 16:53:49,1.12.0,FR1,0,4.11,,1,RightWithPellet,Left,7,5,0,0,,,0.13
4/1/2022 17:02:33,1.12.0,FR1,0,4.11,,1,RightWithPellet,Left,7,6,0,0,,,0.05
4/1/2022 17:09:14,1.12.0,FR1,0,4.11,,1,RightWithPellet,Left,7,7,0,0,,,0.21
4/1/2022 17:17:33,1.12.0,FR1,0,4.11,,1,RightWithPellet,Left,7,8,0,0,,,0.07
4/1/2022 17:48:15,1.12.0,FR1,0,4.11,,1,RightWithPellet,Left,7,9,0,0,,,0.27
4/1/2022 17:53:05,1.12.0,FR1,0,4.11,,1,LeftWithPellet,Left,8,9,0,0,,,0.46
4/1/2022 18:00:04,1.12.0,FR1,0,4.11,,1,RightWithPellet,Left,8,10,0,0,,,0.17
4/1/2022 18:01:37,1.12.0,FR1,0,4.11,,1,RightWithPellet,Left,8,11,0,0,,,0.14
4/1/2022 18:02:16,1.12.0,FR1,0,4.11,,1,LeftWithPellet,Left,9,11,0,0,,,0.02
4/1/2022 18:19:24,1.12.0,FR1,0,4.11,,1,RightWithPellet,Left,9,12,0,0,,,0.01
