MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
5/3/2022 9:59:37,1.12.0,Free_feed,1,3.83,4,0,Pellet,Left,0,0,1,0,14.06,nan,nan
5/3/2022 9:59:49,1.12.0,Free_feed,1,3.83,1,0,Pellet,Left,0,0,2,0,4.63,12,nan
5/3/2022 9:59:58,1.12.0,Free_feed,1,3.83,1,0,Pellet,Left,0,0,3,0,2.79,9,nan
5/3/2022 10:00:08,1.12.0,Free_feed,1,3.83,1,0,Pellet,Left,0,0,4,0,2.51,10,nan
5/3/2022 10:01:12,1.12.0,Free_feed,1,3.83,1,0,Pellet,Left,0,0,5,0,56.90,63,nan
5/3/2022 10:05:03,1.12.0,Free_feed,1,3.83,2,0,Pellet,Left,0,0,6,0,Timed_out,232,nan
5/3/2022 10:05:49,1.12.0,Free_feed,1,3.83,2,0,Pellet,Left,0,0,7,0,36.93,46,nan
5/3/2022 10:06:00,1.12.0,Free_feed,1,3.83,1,0,Pellet,Left,0,0,8,0,4.70,11,nan
5/3/2022 10:42:25,1.12.0,Free_feed,1,3.84,1,0,Pellet,Left,0,0,9,0,Timed_out,2185,nan
5/3/2022 10:42:54,1.12.0,Free_feed,1,3.83,3,0,Pellet,Left,0,0,10,0,17.75,29,nan
5/3/2022 10:43:08,1.12.0,Free_feed,1,3.83,1,0,Pellet,Left,0,0,11,0,7.22,14,nan
5/3/2022 10:43:26,1.12.0,Free_feed,1,3.84,1,0,Pellet,Left,0,0,12,0,10.70,18,nan
5/3/2022 10:43:46,1.12.0,Free_feed,1,3.83,1,0,Pellet,Left,0,0,13,0,14.60,20,nan
5/3/2022 10:44:03,1.12.0,Free_feed,1,3.83,1,0,Pellet,Left,0,0,14,0,9.95,17,nan
5/3/2022 10:44:18,1.12.0,Free_feed,1,3.83,1,0,Pellet,Left,0,0,15,0,7.97,15,nan
5/3/2022 10:47:54,1.12.0,Free_feed,1,3.83,nan,0,RightWithPellet,Left,0,1,15,0,nan,nan,1.04
5/3/2022 10:56:33,1.12.0,Free_feed,1,3.83,1,0,Pellet,Left,0,1,16,0,Timed_out,735,nan
5/3/2022 10:57:04,1.12.0,Free_feed,1,3.83,1,0,Pellet,Left,0,1,17,0,23.85,31,nan
5/3/2022 10:57:16,1.12.0,Free_feed,1,3.83,1,0,Pellet,Left,0,1,18,0,5.04,12,nan
5/3/2022 10:57:29,1.12.0,Free_feed,1,3.83,2,0,Pellet,Left,0,1,19,0,4.22,13,nan
5/3/2022 10:57:47,1.12.0,Free_feed,1,3.83,1,0,Pellet,Left,0,1,20,0,10.84,18,nan
5/3/2022 10:58:03,1.12.0,Free_feed,1,3.83,2,0,Pellet,Left,0,1,21,0,6.68,16,nan
5/3/2022 10:58:23,1.12.0,Free_feed,1,3.83,1,0,Pellet,Left,0,1,22,0,14.34,20,nan
5/3/2022 10:58:37,1.12.0,Free_feed,1,3.83,2,0,Pellet,Left,0,1,23,0,5.04,14,nan
5/3/2022 11:45:14,1.12.0,Free_feed,1,3.83,4,0,Pellet,Left,0,1,24,0,Timed_out,2797,nan
5/3/2022 11:45:29,1.12.0,Free_feed,1,3.83,2,0,Pellet,Left,0,1,25,0,8.93,15,nan
5/3/2022 11:45:46,1.12.0,Free_feed,1,3.83,2,0,Pellet,Left,0,1,26,0,9.61,17,nan
5/3/2022 11:46:03,1.12.0,Free_feed,1,3.83,2,0,Pellet,Left,0,1,27,0,11.12,17,nan
5/3/2022 11:46:27,1.12.0,Free_feed,1,3.83,2,0,Pellet,Left,0,1,28,0,15.29,24,nan
5/3/2022 11:46:42,1.12.0,Free_feed,1,3.83,1,0,Pellet,Left,0,1,29,0,7.63,15,nan
5/3/2022 11:46:59,1.12.0,Free_feed,1,3.83,1,0,Pellet,Left,0,1,30,0,15.50,16,nan
5/3/2022 11:47:18,1.12.0,Free_feed,1,3.83,1,0,Pellet,Left,0,1,31,0,12.48,20,nan
5/3/2022 11:47:39,1.12.0,Free_feed,1,3.83,1,0,Pellet,Left,0,1,32,0,14.74,21,nan
5/3/2022 11:47:58,1.12.0,Free_feed,1,3.83,1,0,Pellet,Left,0,1,33,0,13.30,19,nan
5/3/2022 11:48:14,1.12.0,Free_feed,1,3.83,2,0,Pellet,Left,0,1,34,0,8.32,16,nan
5/3/2022 11:48:29,1.12.0,Free_feed,1,3.83,1,0,Pellet,Left,0,1,35,0,8.72,15,nan
5/3/2022 12:33:18,1.12.0,Free_feed,1,3.83,1,0,Pellet,Left,0,1,36,0,Timed_out,2689,nan
5/3/2022 12:33:34,1.12.0,Free_feed,1,3.83,3,0,Pellet,Left,0,1,37,0,5.45,16,nan
5/3/2022 12:33:47,1.12.0,Free_feed,1,3.83,1,0,Pellet,Left,0,1,38,0,6.34,13,nan
5/3/2022 12:34:06,1.12.0,Free_feed,1,3.83,1,0,Pellet,Left,0,1,39,0,12.63,19,nan
5/3/2022 12:34:20,1.12.0,Free_feed,1,3.83,1,0,Pellet,Left,0,1,40,0,7.64,14,nan
5/3/2022 12:34:36,1.12.0,Free_feed,1,3.83,1,0,Pellet,Left,0,1,41,0,9.82,16,nan
5/3/2022 12:34:54,1.12.0,Free_feed,1,3.83,1,0,Pellet,Left,0,1,42,0,10.84,18,nan
5/3/2022 12:35:12,1.12.0,Free_feed,1,3.83,3,0,Pellet,Left,0,1,43,0,6.95,18,nan
5/3/2022 12:35:38,1.12.0,Free_feed,1,3.83,2,0,Pellet,Left,0,1,44,0,16.94,26,nan
5/3/2022 12:35:56,1.12.0,Free_feed,1,3.83,1,0,Pellet,Left,0,1,45,0,10.16,18,nan
5/3/2022 12:36:13,1.12.0,Free_feed,1,3.83,2,0,Pellet,Left,0,1,46,0,10.64,17,nan
5/3/2022 12:36:29,1.12.0,Free_feed,1,3.83,1,0,Pellet,Left,0,1,47,0,9.35,16,nan
5/3/2022 12:36:47,1.12.0,Free_feed,1,3.83,1,0,Pellet,Left,0,1,48,0,11.46,18,nan
5/3/2022 12:48:03,1.12.0,Free_feed,1,3.83,nan,0,RightWithPellet,Left,0,2,48,0,nan,nan,1.07
5/3/2022 12:53:10,1.12.0,Free_feed,1,3.83,1,0,Pellet,Left,0,2,49,0,Timed_out,983,nan
5/3/2022 12:53:31,1.12.0,Free_feed,1,3.83,nan,0,RightWithPellet,Left,0,3,49,0,nan,nan,0.53
5/3/2022 12:58:32,1.12.0,Free_feed,1,3.83,1,0,Pellet,Left,0,3,50,0,Timed_out,322,nan
5/3/2022 12:58:45,1.12.0,Free_feed,1,3.83,1,0,Pellet,Left,0,3,51,0,6.07,13,nan
5/3/2022 12:58:57,1.12.0,Free_feed,1,3.83,1,0,Pellet,Left,0,3,52,0,5.11,12,nan
5/3/2022 12:59:13,1.12.0,Free_feed,1,3.83,2,0,Pellet,Left,0,3,53,0,7.84,16,nan
5/3/2022 12:59:26,1.12.0,Free_feed,1,3.83,1,0,Pellet,Left,0,3,54,0,5.38,13,nan
5/3/2022 13:57:56,1.12.0,Free_feed,1,3.83,1,0,Pellet,Left,0,3,55,0,Timed_out,3510,nan
5/3/2022 13:58:05,1.12.0,Free_feed,1,3.83,1,0,Pellet,Left,0,3,56,0,2.38,9,nan
5/3/2022 13:58:12,1.12.0,Free_feed,1,3.82,1,0,Pellet,Left,0,3,57,0,0.61,7,nan
5/3/2022 13:58:29,1.12.0,Free_feed,1,3.83,1,0,Pellet,Left,0,3,58,0,10.23,17,nan
5/3/2022 13:58:48,1.12.0,Free_feed,1,3.83,1,0,Pellet,Left,0,3,59,0,11.67,19,nan
5/3/2022 13:59:10,1.12.0,Free_feed,1,3.82,4,0,Pellet,Left,0,3,60,0,11.60,22,nan
5/3/2022 13:59:28,1.12.0,Free_feed,1,3.83,2,0,Pellet,Left,0,3,61,0,8.59,18,nan
5/3/2022 13:59:51,1.12.0,Free_feed,1,3.82,1,0,Pellet,Left,0,3,62,0,16.39,23,nan
5/3/2022 14:00:17,1.12.0,Free_feed,1,3.83,1,0,Pellet,Left,0,3,63,0,19.40,26,nan
