MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time,Elapsed_Time,Binary_Pellets,Interpellet_Intervals,Binary_Left_Pokes,Binary_Right_Pokes,Correct_Poke,Concat_#,Mode
05/03/2022 10:46:12,1.12.0,Free_feed,6,3.71,4,0,Pellet,Left,0,0,1,0,,,,0 days 00:00:00.000000000,1,,0,0,,0,Free_feed
05/03/2022 10:46:13,1.12.0,Free_feed,6,3.71,1,0,Pellet,Left,0,0,2,0,0.06,1,,0 days 00:00:01.000000000,1,,0,0,,0,Free_feed
05/03/2022 10:48:00,1.12.0,Free_feed,6,3.71,1,0,Pellet,Left,0,0,3,0,,107,,0 days 00:01:48.000000000,1,1.783333333,0,0,,0,Free_feed
05/03/2022 10:49:30,1.12.0,Free_feed,6,3.71,1,0,Pellet,Left,0,0,4,0,,90,,0 days 00:03:18.000000000,1,1.5,0,0,,0,Free_feed
05/03/2022 10:53:31,1.12.0,Free_feed,6,3.71,3,0,Pellet,Left,0,0,5,0,,241,,0 days 00:07:19.000000000,1,4.016666667,0,0,,0,Free_feed
05/03/2022 10:55:35,1.12.0,Free_feed,6,3.71,2,0,Pellet,Left,0,0,6,0,,124,,0 days 00:09:23.000000000,1,2.066666667,0,0,,0,Free_feed
05/03/2022 11:03:42,1.12.0,Free_feed,6,3.71,1,0,Pellet,Left,0,0,7,0,,487,,0 days 00:17:30.000000000,1,8.116666667,0,0,,0,Free_feed
05/03/2022 11:03:54,1.12.0,Free_feed,6,3.71,1,0,Pellet,Left,0,0,8,0,4.49,12,,0 days 00:17:42.000000000,1,0.2,0,0,,0,Free_feed
05/03/2022 11:09:27,1.12.0,Free_feed,6,3.71,1,0,Pellet,Left,0,0,9,0,,333,,0 days 00:23:15.000000000,1,5.55,0,0,,0,Free_feed
05/03/2022 11:09:37,1.12.0,Free_feed,6,3.71,1,0,Pellet,Left,0,0,10,0,2.58,10,,0 days 00:23:25.000000000,1,0.166666667,0,0,,0,Free_feed
05/03/2022 12:03:05,1.12.0,Free_feed,6,3.71,2,0,Pellet,Left,0,0,11,0,,3208,,0 days 01:16:53.000000000,1,53.46666667,0,0,,0,Free_feed
05/03/2022 12:03:18,1.12.0,Free_feed,6,3.71,1,0,Pellet,Left,0,0,12,0,6.88,13,,0 days 01:17:06.000000000,1,0.216666667,0,0,,0,Free_feed
05/03/2022 12:03:19,1.12.0,Free_feed,6,3.71,1,0,Pellet,Left,0,0,13,0,0.06,1,,0 days 01:17:07.000000000,1,0.016666667,0,0,,0,Free_feed
05/03/2022 12:03:38,1.12.0,Free_feed,6,3.71,1,0,Pellet,Left,0,0,14,0,12.01,19,,0 days 01:17:26.000000000,1,0.316666667,0,0,,0,Free_feed
05/03/2022 12:03:55,1.12.0,Free_feed,6,3.71,1,0,Pellet,Left,0,0,15,0,10.57,17,,0 days 01:17:43.000000000,1,0.283333333,0,0,,0,Free_feed
05/03/2022 12:04:13,1.12.0,Free_feed,6,3.71,1,0,Pellet,Left,0,0,16,0,11.19,18,,0 days 01:18:01.000000000,1,0.3,0,0,,0,Free_feed
05/03/2022 12:04:26,1.12.0,Free_feed,6,3.71,3,0,Pellet,Left,0,0,17,0,8.18,13,,0 days 01:18:14.000000000,1,0.216666667,0,0,,0,Free_feed
05/03/2022 12:04:42,1.12.0,Free_feed,6,3.71,1,0,Pellet,Left,0,0,18,0,8.31,16,,0 days 01:18:30.000000000,1,0.266666667,0,0,,0,Free_feed
05/03/2022 12:04:43,1.12.0,Free_feed,6,3.71,1,0,Pellet,Left,0,0,19,0,0.06,1,,0 days 01:18:31.000000000,1,0.016666667,0,0,,0,Free_feed
05/03/2022 12:12:24,1.12.0,Free_feed,6,3.71,1,0,Pellet,Left,0,0,20,0,,461,,0 days 01:26:12.000000000,1,7.683333333,0,0,,0,Free_feed
05/03/2022 12:19:02,1.12.0,Free_feed,6,3.71,1,0,Pellet,Left,0,0,21,0,,398,,0 days 01:32:50.000000000,1,6.633333333,0,0,,0,Free_feed
05/03/2022 12:46:56,1.12.0,Free_feed,6,3.71,1,0,Pellet,Left,0,0,22,0,,1674,,0 days 02:00:44.000000000,1,27.9,0,0,,0,Free_feed
